GP,W,D,L,F,A,GD,P,Team,Year,PPG
22,4,9,9,29,38,-9,21,12 HOU Houston Dynamo FC,2020,0.95
34,22,7,5,65,41,+24,73,1 NE New England Revolution,2021,
34,14,12,8,48,35,+13,54,2 PHI Philadelphia Union,2021,
34,12,18,4,55,33,+22,54,3 NSH Nashville SC,2021,
34,14,9,11,56,36,+20,51,4 NYC New York City FC,2021,
34,13,12,9,45,37,+8,51,5 ATL Atlanta United FC,2021,
34,13,12,9,50,48,+2,51,6 ORL Orlando City SC,2021,
34,13,9,12,39,33,+6,48,7 NY New York Red Bulls,2021,
34,14,5,15,56,54,+2,47,8 DC D.C. United,2021,
34,13,8,13,46,45,+1,47,9 CLB Columbus Crew,2021,
34,12,10,12,46,44,+2,46,10 MTL CF Montréal,2021,
34,12,5,17,36,53,-17,41,11 MIA Inter Miami CF,2021,
34,9,7,18,36,54,-18,34,12 CHI Chicago Fire FC,2021,
34,6,10,18,39,66,-27,28,13 TOR Toronto FC,2021,
34,4,8,22,37,74,-37,20,14 CIN FC Cincinnati,2021,
34,17,10,7,51,35,+16,61,1 COL Colorado Rapids,2021,
34,17,9,8,53,33,+20,60,2 SEA Seattle Sounders FC,2021,
34,17,7,10,58,40,+18,58,3 SKC Sporting Kansas City,2021,
34,17,4,13,56,52,+4,55,4 POR Portland Timbers,2021,
34,13,10,11,42,44,-2,49,5 MIN Minnesota United FC,2021,
34,12,13,9,45,45,0,49,6 VAN Vancouver Whitecaps,2021,
34,14,6,14,55,54,+1,48,7 RSL Real Salt Lake,2021,
34,13,9,12,50,54,-4,48,8 LA LA Galaxy,2021,
34,12,9,13,53,51,+2,45,9 LAFC LAFC,2021,
34,10,11,13,46,54,-8,41,10 SJ San Jose Earthquakes,2021,
34,7,12,15,47,56,-9,33,11 DAL FC Dallas,2021,
34,9,4,21,35,56,-21,31,12 ATX Austin FC,2021,
34,6,12,16,36,54,-18,30,13 HOU Houston Dynamo FC,2021,
