athlete_id,total_starter,name
41,117,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007
41,68,IFSC Climbing Worldcup (L) - Valence (FRA) 2007
48,117,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007
48,90,IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2007
49,99,IFSC Climbing Worldcup (L) - Imst (AUT) 2007
49,87,IFSC Climbing Worldcup (L) - Zürich (SUI) 2007
49,117,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007
49,57,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007
49,68,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007
53,117,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007
53,90,IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2007
58,99,IFSC Climbing Worldcup (L) - Imst (AUT) 2007
58,87,IFSC Climbing Worldcup (L) - Zürich (SUI) 2007
58,117,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007
58,57,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007
58,68,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007
58,90,IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2007
58,68,IFSC Climbing Worldcup (L) - Valence (FRA) 2007
58,79,IFSC Climbing Worldcup (L) - Kranj (SLO) 2007
60,117,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007
61,99,IFSC Climbing Worldcup (L) - Imst (AUT) 2007
61,117,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007
61,57,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007
71,117,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007
306,99,IFSC Climbing Worldcup (L) - Imst (AUT) 2007
306,87,IFSC Climbing Worldcup (L) - Zürich (SUI) 2007
306,117,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007
306,57,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007
306,68,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007
306,90,IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2007
306,60,IFSC Climbing Worldcup (L) - Kazo (JPN) 2007
306,68,IFSC Climbing Worldcup (L) - Valence (FRA) 2007
306,79,IFSC Climbing Worldcup (L) - Kranj (SLO) 2007
309,68,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007
309,90,IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2007
419,99,IFSC Climbing Worldcup (L) - Imst (AUT) 2007
419,87,IFSC Climbing Worldcup (L) - Zürich (SUI) 2007
419,117,IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007
419,90,IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2007
419,68,IFSC Climbing Worldcup (L) - Valence (FRA) 2007
419,79,IFSC Climbing Worldcup (L) - Kranj (SLO) 2007
426,99,IFSC Climbing Worldcup (L) - Imst (AUT) 2007
