athlete_id,total_starter,name
49,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
49,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
49,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
49,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
49,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
58,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
58,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
58,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
58,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
58,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
61,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
61,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
61,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
61,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
61,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
71,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
306,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
306,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
306,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
419,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
437,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
437,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
437,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
437,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
437,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
437,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
438,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
438,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
438,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
438,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
438,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
438,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
444,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
444,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
444,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
444,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
444,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
444,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
445,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
445,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
445,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
445,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
445,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
445,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
447,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
447,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
447,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
447,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
447,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
451,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
772,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
772,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
772,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
772,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
772,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
772,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
773,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
773,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
773,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
773,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
773,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
773,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
774,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
775,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
848,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
848,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
848,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
851,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
1119,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
1119,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
1119,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
1119,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
1119,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
1119,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
1121,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
1121,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
1121,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
1121,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
1121,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
1121,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
1122,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
1122,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
1122,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
1122,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
1122,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
1122,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
1124,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
1124,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
1199,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
1199,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
1202,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
1202,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
1202,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
1202,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
1202,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
1202,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
1207,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
1207,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
1207,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
1207,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
1207,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
1207,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
1209,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
1210,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
1210,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
1210,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
1210,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
1210,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
1210,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
1213,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
1213,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
1213,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
1213,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
1213,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
1213,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
1214,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
1214,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
1214,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
1214,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
1214,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
1214,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
1476,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
2032,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
2032,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
2032,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
2032,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
2032,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
2034,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
2034,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
2034,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
2034,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
2034,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
2035,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
2035,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
2035,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
2035,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
2035,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
2035,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
2251,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
2251,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
2251,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
2251,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
2251,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
2251,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
2253,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
2253,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
2253,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
2253,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
2254,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
2254,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
2254,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
2254,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
2254,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
2254,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
2927,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
3058,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
3124,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
3124,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
3124,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
3124,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
3124,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
3124,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
3129,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
3133,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
3198,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
3198,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
3460,46,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010"
3577,122,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010"
3577,44,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010"
3577,72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010"
3577,69,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010
3577,95,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010
