athlete_id,total_starter,name
49,155,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018 "
49,203,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 "
60,155,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018 "
60,203,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 "
60,150,IFSC Climbing Worldcup (L) - Briançon (FRA) 2018 
61,155,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018 "
61,203,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 "
61,225,IFSC Climbing World Championships - Innsbruck (AUT) 2018
437,155,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018 "
437,203,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 "
437,150,IFSC Climbing Worldcup (L) - Briançon (FRA) 2018 
437,171,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018 "
437,108,IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 
437,69,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 "
437,67,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 "
437,225,IFSC Climbing World Championships - Innsbruck (AUT) 2018
444,155,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018 "
773,203,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 "
773,150,IFSC Climbing Worldcup (L) - Briançon (FRA) 2018 
773,225,IFSC Climbing World Championships - Innsbruck (AUT) 2018
775,155,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018 "
775,203,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 "
775,150,IFSC Climbing Worldcup (L) - Briançon (FRA) 2018 
775,225,IFSC Climbing World Championships - Innsbruck (AUT) 2018
1122,155,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018 "
1122,203,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 "
1122,150,IFSC Climbing Worldcup (L) - Briançon (FRA) 2018 
