athlete_id,total_starter,name
1559,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
1559,104,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021"
2253,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
2253,104,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021"
2253,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
2726,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
3357,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
79,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
79,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
79,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
79,104,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021"
79,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
1124,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
1124,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
1124,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
1124,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
1214,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
1214,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
1214,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
1214,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
3779,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
4150,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
7613,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
1364,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
1364,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
2257,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
2257,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
2257,104,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021"
2257,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
3246,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
3246,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
3246,104,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021"
3246,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
636,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
469,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
469,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
469,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
469,104,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021"
469,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
1129,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
1130,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
1130,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
1130,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
1130,104,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021"
1130,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
2798,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
3354,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
3354,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
3354,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
3354,104,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021"
3354,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
3422,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
3422,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
3422,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
3422,104,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021"
3422,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
3582,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
3925,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
4364,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
4364,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
55,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
55,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
55,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
316,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
316,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
316,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
316,104,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021"
316,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
1486,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
2139,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
2174,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
2174,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
2574,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
2574,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
2574,104,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021"
2574,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
2837,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
3060,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
3060,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
3139,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
3979,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
466,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
466,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
857,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
857,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
857,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
857,104,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021"
857,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
1131,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
1131,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
1131,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
1131,104,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021"
1131,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
1137,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
1137,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
1472,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
1472,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
1472,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
1750,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
1750,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
1750,104,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021"
1750,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
2272,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
2272,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
2272,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
2272,104,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021"
2272,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
2291,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
2291,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
2291,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
2291,104,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021"
2291,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
3254,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
3254,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
3254,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
3254,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
3426,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
3428,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
3428,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
3840,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
3840,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
3840,104,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021
3840,104,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021"
3840,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
3929,178,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
4293,171,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021
4293,202,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
