Home,Away
ATL,DET
BAL,CIN
BUF,SEA
CLE,DAL
GB,MIN
IND,CHI
LV,DEN
LAC,CAR
MIA,NYJ
NE,KC
NO,TB
NYG,WSH
PHI,LAR
PIT,HOU
SF,ARI
TEN,JAX
ARI,MIA
CAR,CHI
CIN,TEN
CLE,PIT
DAL,PHI
DEN,LAC
DET,GB
JAX,BUF
KC,LV
LAR,NYG
MIN,IND
NYJ,NE
SEA,SF
TB,ATL
WSH,NO
ATL,KC
BAL,CLE
BUF,LV
CHI,TB
DEN,NO
GB,DAL
IND,JAX
LAC,NYJ
MIN,CAR
NE,MIA
NYG,CIN
PHI,PIT
SF,DET
SEA,LAR
TEN,HOU
WSH,ARI
CAR,ATL
CHI,PHI
CIN,CLE
DAL,WSH
JAX,HOU
KC,DEN
LV,LAC
LAR,BUF
NO,SF
NYJ,ARI
PIT,BAL
TB,GB
TEN,MIN
ARI,BUF
BAL,TEN
CAR,KC
DAL,CIN
DEN,TB
DET,CHI
GB,ATL
HOU,IND
JAX,PIT
MIA,LAC
NO,MIN
NYG,SEA
PHI,WSH
SF,NE
ARI,DAL
ATL,CHI
CLE,NYG
DEN,JAX
HOU,MIA
IND,BAL
LAC,NE
MIN,DET
NO,LV
NYJ,CIN
SF,PHI
SEA,GB
TB,CAR
WSH,LAR
BUF,LAC
CAR,NO
CHI,MIN
CIN,PIT
GB,IND
HOU,DET
KC,TEN
LV,NYJ
LAR,DAL
MIA,BAL
NE,DEN
NYG,SF
TB,SEA
WSH,CLE
BAL,LV
CAR,ARI
DAL,TB
DET,WSH
HOU,CIN
JAX,CLE
MIA,BUF
NE,LAR
NO,LAC
NYJ,KC
PHI,ATL
PIT,NYG
SF,SEA
TEN,IND
BUF,NYJ
CHI,DET
CIN,JAX
CLE,BAL
DEN,MIA
IND,NE
KC,TB
LV,ATL
LAR,ARI
MIN,HOU
NYG,DAL
SEA,PHI
TEN,GB
WSH,PIT
ARI,SF
ATL,NO
CHI,TEN
CLE,DEN
DET,JAX
HOU,BAL
LV,CAR
LAC,KC
MIA,SEA
MIN,GB
NE,BUF
NYJ,LAR
PHI,NYG
PIT,IND
ATL,DEN
BUF,CLE
CAR,DET
CIN,PHI
GB,CHI
IND,HOU
JAX,TEN
KC,NO
MIA,LV
NE,NYJ
NYG,BAL
PIT,LAC
SF,LAR
SEA,ARI
TB,MIN
WSH,DAL
ARI,NYG
ATL,CAR
BAL,PHI
CLE,HOU
DAL,SF
DEN,LV
DET,TB
JAX,MIN
KC,BUF
LAR,CHI
LAC,IND
MIA,NE
NO,GB
PIT,CIN
SEA,WSH
TEN,NYJ
BUF,SF
CIN,BAL
CLE,IND
DAL,SEA
DET,TEN
GB,CAR
HOU,JAX
LV,KC
LAR,MIA
LAC,ATL
MIN,CHI
NE,PIT
NYJ,DEN
PHI,ARI
TB,NO
WSH,NYG
ARI,LAR
BAL,WSH
BUF,MIA
CAR,TB
CHI,JAX
DEN,KC
DET,MIN
GB,HOU
IND,CIN
LAC,LV
NO,ATL
NYG,PHI
PIT,DAL
SF,NYJ
SEA,NE
TEN,CLE
ARI,MIN
ATL,TB
BAL,PIT
CAR,DEN
CHI,NO
CIN,WSH
DAL,NYG
HOU,TEN
IND,DET
JAX,GB
KC,LAC
LV,NE
LAR,SEA
MIA,SF
NYJ,BUF
PHI,CLE
CHI,GB
CLE,CIN
DAL,BAL
DEN,BUF
DET,NO
JAX,IND
KC,MIA
LV,HOU
LAR,SF
MIN,ATL
NE,ARI
NYG,CAR
SEA,NYJ
TB,LAC
TEN,PIT
WSH,PHI
ARI,SEA
ATL,LAR
BAL,JAX
BUF,NE
CIN,KC
GB,DET
HOU,CHI
IND,TEN
LAC,DEN
MIN,NYG
NO,CAR
NYJ,MIA
PHI,DAL
PIT,CLE
SF,WSH
TB,LV
