Home,Away,Year
New York Red Bulls,New England Revolution,2001
Columbus Crew SC,Chicago Fire FC,2001
DC United,Sporting Kansas City,2001
Miami,Colorado Rapids,2001
Tampa Bay,FC Dallas,2001
San Jose Earthquakes,LA Galaxy,2001
Columbus Crew SC,Tampa Bay,2001
Miami,New England Revolution,2001
Sporting Kansas City,LA Galaxy,2001
Chicago Fire FC,DC United,2001
Colorado Rapids,New York Red Bulls,2001
FC Dallas,San Jose Earthquakes,2001
Sporting Kansas City,Miami,2001
Tampa Bay,New York Red Bulls,2001
FC Dallas,Chicago Fire FC,2001
DC United,New England Revolution,2001
Miami,San Jose Earthquakes,2001
Sporting Kansas City,Columbus Crew SC,2001
LA Galaxy,Colorado Rapids,2001
Chicago Fire FC,Tampa Bay,2001
LA Galaxy,Colorado Rapids,2001
New York Red Bulls,FC Dallas,2001
Miami,New England Revolution,2001
Sporting Kansas City,San Jose Earthquakes,2001
New York Red Bulls,Sporting Kansas City,2001
Columbus Crew SC,Miami,2001
New York Red Bulls,DC United,2001
Chicago Fire FC,Tampa Bay,2001
Colorado Rapids,FC Dallas,2001
San Jose Earthquakes,New England Revolution,2001
LA Galaxy,Sporting Kansas City,2001
Tampa Bay,LA Galaxy,2001
DC United,New England Revolution,2001
New England Revolution,Chicago Fire FC,2001
New York Red Bulls,LA Galaxy,2001
San Jose Earthquakes,DC United,2001
FC Dallas,Columbus Crew SC,2001
Colorado Rapids,Tampa Bay,2001
New England Revolution,Columbus Crew SC,2001
New York Red Bulls,Colorado Rapids,2001
San Jose Earthquakes,New York Red Bulls,2001
Columbus Crew SC,DC United,2001
Miami,Tampa Bay,2001
Chicago Fire FC,Sporting Kansas City,2001
New England Revolution,Colorado Rapids,2001
LA Galaxy,FC Dallas,2001
San Jose Earthquakes,FC Dallas,2001
Miami,Colorado Rapids,2001
Sporting Kansas City,New York Red Bulls,2001
Chicago Fire FC,San Jose Earthquakes,2001
Miami,Tampa Bay,2001
Columbus Crew SC,Colorado Rapids,2001
LA Galaxy,New England Revolution,2001
Miami,DC United,2001
LA Galaxy,Chicago Fire FC,2001
San Jose Earthquakes,Colorado Rapids,2001
Chicago Fire FC,DC United,2001
Columbus Crew SC,LA Galaxy,2001
Sporting Kansas City,Tampa Bay,2001
Miami,FC Dallas,2001
San Jose Earthquakes,Colorado Rapids,2001
New York Red Bulls,New England Revolution,2001
FC Dallas,Tampa Bay,2001
FC Dallas,DC United,2001
Miami,Sporting Kansas City,2001
New England Revolution,Tampa Bay,2001
Chicago Fire FC,Columbus Crew SC,2001
San Jose Earthquakes,LA Galaxy,2001
DC United,New York Red Bulls,2001
LA Galaxy,Sporting Kansas City,2001
DC United,Sporting Kansas City,2001
New York Red Bulls,San Jose Earthquakes,2001
Columbus Crew SC,Tampa Bay,2001
Miami,LA Galaxy,2001
FC Dallas,Colorado Rapids,2001
New England Revolution,Colorado Rapids,2001
LA Galaxy,New York Red Bulls,2001
Tampa Bay,DC United,2001
Chicago Fire FC,New England Revolution,2001
Columbus Crew SC,FC Dallas,2001
San Jose Earthquakes,Sporting Kansas City,2001
FC Dallas,LA Galaxy,2001
DC United,Colorado Rapids,2001
Miami,Columbus Crew SC,2001
Chicago Fire FC,New York Red Bulls,2001
Sporting Kansas City,Tampa Bay,2001
New York Red Bulls,Tampa Bay,2001
Chicago Fire FC,Sporting Kansas City,2001
FC Dallas,New England Revolution,2001
Colorado Rapids,DC United,2001
Columbus Crew SC,LA Galaxy,2001
San Jose Earthquakes,Miami,2001
Columbus Crew SC,FC Dallas,2001
Chicago Fire FC,Tampa Bay,2001
New York Red Bulls,Miami,2001
LA Galaxy,DC United,2001
Sporting Kansas City,New England Revolution,2001
Colorado Rapids,San Jose Earthquakes,2001
San Jose Earthquakes,Tampa Bay,2001
DC United,New England Revolution,2001
Chicago Fire FC,Colorado Rapids,2001
Sporting Kansas City,FC Dallas,2001
LA Galaxy,Miami,2001
New England Revolution,LA Galaxy,2001
Columbus Crew SC,New York Red Bulls,2001
Miami,Chicago Fire FC,2001
FC Dallas,Tampa Bay,2001
Colorado Rapids,Sporting Kansas City,2001
San Jose Earthquakes,DC United,2001
New York Red Bulls,DC United,2001
Colorado Rapids,Tampa Bay,2001
Columbus Crew SC,San Jose Earthquakes,2001
Miami,New England Revolution,2001
Chicago Fire FC,FC Dallas,2001
Sporting Kansas City,New England Revolution,2001
Columbus Crew SC,Chicago Fire FC,2001
DC United,Miami,2001
Colorado Rapids,Chicago Fire FC,2001
Tampa Bay,San Jose Earthquakes,2001
New England Revolution,FC Dallas,2001
New York Red Bulls,Miami,2001
Columbus Crew SC,Sporting Kansas City,2001
San Jose Earthquakes,New England Revolution,2001
Miami,New England Revolution,2001
Chicago Fire FC,Tampa Bay,2001
FC Dallas,New York Red Bulls,2001
LA Galaxy,DC United,2001
San Jose Earthquakes,Columbus Crew SC,2001
Colorado Rapids,Sporting Kansas City,2001
Columbus Crew SC,FC Dallas,2001
New York Red Bulls,DC United,2001
LA Galaxy,Sporting Kansas City,2001
Miami,Chicago Fire FC,2001
New England Revolution,DC United,2001
Miami,FC Dallas,2001
Chicago Fire FC,San Jose Earthquakes,2001
LA Galaxy,Tampa Bay,2001
Columbus Crew SC,New York Red Bulls,2001
Sporting Kansas City,Colorado Rapids,2001
DC United,Columbus Crew SC,2001
Chicago Fire FC,LA Galaxy,2001
New York Red Bulls,Miami,2001
FC Dallas,Sporting Kansas City,2001
San Jose Earthquakes,Colorado Rapids,2001
Tampa Bay,New England Revolution,2001
FC Dallas,Tampa Bay,2001
Chicago Fire FC,Columbus Crew SC,2001
DC United,Tampa Bay,2001
Chicago Fire FC,New York Red Bulls,2001
Columbus Crew SC,New England Revolution,2001
LA Galaxy,Colorado Rapids,2001
San Jose Earthquakes,Sporting Kansas City,2001
New York Red Bulls,New England Revolution,2001
Miami,DC United,2001
Chicago Fire FC,FC Dallas,2001
Sporting Kansas City,San Jose Earthquakes,2001
LA Galaxy,Colorado Rapids,2001
Columbus Crew SC,Tampa Bay,2001
