Home,Away,Year
DC United,San Jose Earthquakes,2004
LA Galaxy,New England Revolution,2004
Columbus Crew SC,New York Red Bulls,2004
FC Dallas,Colorado Rapids,2004
Sporting Kansas City,Chicago Fire FC,2004
San Jose Earthquakes,Chicago Fire FC,2004
LA Galaxy,DC United,2004
New York Red Bulls,DC United,2004
Colorado Rapids,LA Galaxy,2004
Chicago Fire FC,FC Dallas,2004
New England Revolution,San Jose Earthquakes,2004
Sporting Kansas City,Columbus Crew SC,2004
DC United,Chicago Fire FC,2004
Colorado Rapids,San Jose Earthquakes,2004
LA Galaxy,Columbus Crew SC,2004
FC Dallas,Sporting Kansas City,2004
New York Red Bulls,New England Revolution,2004
San Jose Earthquakes,DC United,2004
Chicago Fire FC,New York Red Bulls,2004
Columbus Crew SC,FC Dallas,2004
New England Revolution,LA Galaxy,2004
Sporting Kansas City,Colorado Rapids,2004
Colorado Rapids,New England Revolution,2004
FC Dallas,LA Galaxy,2004
San Jose Earthquakes,New York Red Bulls,2004
DC United,Columbus Crew SC,2004
Sporting Kansas City,Chicago Fire FC,2004
Columbus Crew SC,New England Revolution,2004
LA Galaxy,Colorado Rapids,2004
DC United,Sporting Kansas City,2004
FC Dallas,San Jose Earthquakes,2004
New York Red Bulls,Chicago Fire FC,2004
DC United,LA Galaxy,2004
New England Revolution,New York Red Bulls,2004
Colorado Rapids,DC United,2004
San Jose Earthquakes,LA Galaxy,2004
Sporting Kansas City,FC Dallas,2004
Chicago Fire FC,Columbus Crew SC,2004
LA Galaxy,FC Dallas,2004
Chicago Fire FC,Colorado Rapids,2004
Columbus Crew SC,San Jose Earthquakes,2004
New England Revolution,DC United,2004
New York Red Bulls,Sporting Kansas City,2004
Sporting Kansas City,New England Revolution,2004
Chicago Fire FC,DC United,2004
New York Red Bulls,FC Dallas,2004
LA Galaxy,Sporting Kansas City,2004
New England Revolution,Columbus Crew SC,2004
Colorado Rapids,Sporting Kansas City,2004
LA Galaxy,Chicago Fire FC,2004
San Jose Earthquakes,New York Red Bulls,2004
Columbus Crew SC,Sporting Kansas City,2004
DC United,Colorado Rapids,2004
FC Dallas,New England Revolution,2004
New York Red Bulls,LA Galaxy,2004
Colorado Rapids,FC Dallas,2004
Chicago Fire FC,San Jose Earthquakes,2004
DC United,Columbus Crew SC,2004
New England Revolution,Sporting Kansas City,2004
LA Galaxy,New York Red Bulls,2004
FC Dallas,DC United,2004
San Jose Earthquakes,Sporting Kansas City,2004
Columbus Crew SC,Colorado Rapids,2004
New England Revolution,New York Red Bulls,2004
Chicago Fire FC,LA Galaxy,2004
New York Red Bulls,Colorado Rapids,2004
DC United,New York Red Bulls,2004
Columbus Crew SC,Chicago Fire FC,2004
Sporting Kansas City,FC Dallas,2004
LA Galaxy,San Jose Earthquakes,2004
Colorado Rapids,New England Revolution,2004
San Jose Earthquakes,FC Dallas,2004
New York Red Bulls,San Jose Earthquakes,2004
LA Galaxy,Colorado Rapids,2004
FC Dallas,Columbus Crew SC,2004
Sporting Kansas City,DC United,2004
Chicago Fire FC,New England Revolution,2004
Colorado Rapids,LA Galaxy,2004
New England Revolution,Chicago Fire FC,2004
San Jose Earthquakes,Colorado Rapids,2004
Chicago Fire FC,New York Red Bulls,2004
Columbus Crew SC,New England Revolution,2004
DC United,LA Galaxy,2004
FC Dallas,Sporting Kansas City,2004
Colorado Rapids,Columbus Crew SC,2004
FC Dallas,DC United,2004
New York Red Bulls,Chicago Fire FC,2004
San Jose Earthquakes,New England Revolution,2004
Sporting Kansas City,LA Galaxy,2004
Columbus Crew SC,FC Dallas,2004
Sporting Kansas City,New York Red Bulls,2004
Colorado Rapids,Chicago Fire FC,2004
New England Revolution,Columbus Crew SC,2004
San Jose Earthquakes,DC United,2004
FC Dallas,Colorado Rapids,2004
New York Red Bulls,LA Galaxy,2004
FC Dallas,New England Revolution,2004
DC United,Colorado Rapids,2004
Chicago Fire FC,San Jose Earthquakes,2004
LA Galaxy,Columbus Crew SC,2004
DC United,New England Revolution,2004
Sporting Kansas City,San Jose Earthquakes,2004
Chicago Fire FC,Colorado Rapids,2004
New York Red Bulls,FC Dallas,2004
Columbus Crew SC,Sporting Kansas City,2004
Colorado Rapids,New York Red Bulls,2004
LA Galaxy,Chicago Fire FC,2004
San Jose Earthquakes,FC Dallas,2004
Columbus Crew SC,DC United,2004
New England Revolution,Sporting Kansas City,2004
New England Revolution,DC United,2004
San Jose Earthquakes,Colorado Rapids,2004
FC Dallas,Chicago Fire FC,2004
New York Red Bulls,Columbus Crew SC,2004
Chicago Fire FC,Sporting Kansas City,2004
New England Revolution,San Jose Earthquakes,2004
Colorado Rapids,FC Dallas,2004
Columbus Crew SC,LA Galaxy,2004
Sporting Kansas City,New York Red Bulls,2004
Chicago Fire FC,DC United,2004
San Jose Earthquakes,Columbus Crew SC,2004
Colorado Rapids,Sporting Kansas City,2004
DC United,FC Dallas,2004
New York Red Bulls,New England Revolution,2004
LA Galaxy,San Jose Earthquakes,2004
