Home,Away,Year
Columbus Crew SC,Toronto FC,2008
Real Salt Lake,Chicago Fire FC,2008
Sporting Kansas City,DC United,2008
New England Revolution,Houston Dynamo,2008
Colorado Rapids,LA Galaxy,2008
FC Dallas,Chivas USA,2008
Chicago Fire FC,New England Revolution,2008
LA Galaxy,San Jose Earthquakes,2008
Sporting Kansas City,Colorado Rapids,2008
DC United,Toronto FC,2008
New York Red Bulls,Columbus Crew SC,2008
Chivas USA,Real Salt Lake,2008
Houston Dynamo,FC Dallas,2008
Sporting Kansas City,New England Revolution,2008
San Jose Earthquakes,Chicago Fire FC,2008
Columbus Crew SC,Chivas USA,2008
New England Revolution,Colorado Rapids,2008
Sporting Kansas City,Houston Dynamo,2008
FC Dallas,New York Red Bulls,2008
Real Salt Lake,DC United,2008
LA Galaxy,Toronto FC,2008
DC United,Columbus Crew SC,2008
Toronto FC,Real Salt Lake,2008
New York Red Bulls,New England Revolution,2008
Colorado Rapids,San Jose Earthquakes,2008
LA Galaxy,Houston Dynamo,2008
Chicago Fire FC,Sporting Kansas City,2008
Chivas USA,FC Dallas,2008
FC Dallas,New England Revolution,2008
Toronto FC,Sporting Kansas City,2008
Columbus Crew SC,Houston Dynamo,2008
DC United,Real Salt Lake,2008
Chicago Fire FC,Colorado Rapids,2008
LA Galaxy,Chivas USA,2008
New York Red Bulls,San Jose Earthquakes,2008
Toronto FC,New York Red Bulls,2008
Columbus Crew SC,Sporting Kansas City,2008
New England Revolution,Chicago Fire FC,2008
Houston Dynamo,Chivas USA,2008
Real Salt Lake,LA Galaxy,2008
San Jose Earthquakes,FC Dallas,2008
Colorado Rapids,DC United,2008
DC United,Chicago Fire FC,2008
Houston Dynamo,Colorado Rapids,2008
Real Salt Lake,FC Dallas,2008
San Jose Earthquakes,Columbus Crew SC,2008
LA Galaxy,New York Red Bulls,2008
Chivas USA,New England Revolution,2008
Colorado Rapids,Real Salt Lake,2008
Toronto FC,Columbus Crew SC,2008
New England Revolution,San Jose Earthquakes,2008
New York Red Bulls,Sporting Kansas City,2008
Chicago Fire FC,Houston Dynamo,2008
Chivas USA,DC United,2008
FC Dallas,LA Galaxy,2008
Toronto FC,DC United,2008
San Jose Earthquakes,Houston Dynamo,2008
Columbus Crew SC,New England Revolution,2008
DC United,Toronto FC,2008
FC Dallas,Real Salt Lake,2008
Colorado Rapids,Chivas USA,2008
LA Galaxy,Sporting Kansas City,2008
New York Red Bulls,Chicago Fire FC,2008
FC Dallas,Houston Dynamo,2008
New England Revolution,DC United,2008
Toronto FC,LA Galaxy,2008
Houston Dynamo,New York Red Bulls,2008
Real Salt Lake,San Jose Earthquakes,2008
Chivas USA,Columbus Crew SC,2008
Colorado Rapids,FC Dallas,2008
New York Red Bulls,Chivas USA,2008
New England Revolution,FC Dallas,2008
Columbus Crew SC,San Jose Earthquakes,2008
Chicago Fire FC,DC United,2008
Real Salt Lake,Sporting Kansas City,2008
LA Galaxy,Colorado Rapids,2008
Houston Dynamo,Toronto FC,2008
Houston Dynamo,New England Revolution,2008
Toronto FC,Colorado Rapids,2008
DC United,New York Red Bulls,2008
Sporting Kansas City,Columbus Crew SC,2008
San Jose Earthquakes,LA Galaxy,2008
Chivas USA,Real Salt Lake,2008
FC Dallas,Chicago Fire FC,2008
New England Revolution,New York Red Bulls,2008
Real Salt Lake,San Jose Earthquakes,2008
Chivas USA,Chicago Fire FC,2008
Toronto FC,Sporting Kansas City,2008
New York Red Bulls,FC Dallas,2008
Colorado Rapids,Houston Dynamo,2008
Real Salt Lake,New England Revolution,2008
LA Galaxy,Columbus Crew SC,2008
DC United,San Jose Earthquakes,2008
Houston Dynamo,FC Dallas,2008
Columbus Crew SC,Colorado Rapids,2008
New England Revolution,Toronto FC,2008
Sporting Kansas City,Real Salt Lake,2008
Chicago Fire FC,San Jose Earthquakes,2008
Chivas USA,New York Red Bulls,2008
DC United,LA Galaxy,2008
Real Salt Lake,Houston Dynamo,2008
FC Dallas,Sporting Kansas City,2008
Colorado Rapids,New York Red Bulls,2008
LA Galaxy,New England Revolution,2008
Columbus Crew SC,Chicago Fire FC,2008
Chivas USA,San Jose Earthquakes,2008
Sporting Kansas City,New York Red Bulls,2008
LA Galaxy,Chivas USA,2008
San Jose Earthquakes,Colorado Rapids,2008
Chicago Fire FC,Toronto FC,2008
Real Salt Lake,Columbus Crew SC,2008
Columbus Crew SC,Sporting Kansas City,2008
Toronto FC,San Jose Earthquakes,2008
New York Red Bulls,LA Galaxy,2008
Chicago Fire FC,Real Salt Lake,2008
FC Dallas,Colorado Rapids,2008
DC United,Houston Dynamo,2008
San Jose Earthquakes,New York Red Bulls,2008
FC Dallas,LA Galaxy,2008
Sporting Kansas City,Chicago Fire FC,2008
Colorado Rapids,Columbus Crew SC,2008
Real Salt Lake,Toronto FC,2008
DC United,Sporting Kansas City,2008
Chicago Fire FC,Chivas USA,2008
Houston Dynamo,Columbus Crew SC,2008
San Jose Earthquakes,LA Galaxy,2008
Toronto FC,FC Dallas,2008
Colorado Rapids,Toronto FC,2008
New England Revolution,Chicago Fire FC,2008
Sporting Kansas City,Chivas USA,2008
New York Red Bulls,DC United,2008
Chivas USA,LA Galaxy,2008
Columbus Crew SC,FC Dallas,2008
Chicago Fire FC,DC United,2008
Houston Dynamo,Real Salt Lake,2008
Colorado Rapids,Sporting Kansas City,2008
San Jose Earthquakes,New England Revolution,2008
New York Red Bulls,Toronto FC,2008
New England Revolution,DC United,2008
Houston Dynamo,Chivas USA,2008
LA Galaxy,Chicago Fire FC,2008
Columbus Crew SC,Real Salt Lake,2008
DC United,Colorado Rapids,2008
Toronto FC,New England Revolution,2008
Sporting Kansas City,FC Dallas,2008
Chivas USA,San Jose Earthquakes,2008
New York Red Bulls,Houston Dynamo,2008
Real Salt Lake,Colorado Rapids,2008
DC United,New York Red Bulls,2008
New England Revolution,LA Galaxy,2008
FC Dallas,Columbus Crew SC,2008
San Jose Earthquakes,Sporting Kansas City,2008
Chivas USA,Toronto FC,2008
Houston Dynamo,Chicago Fire FC,2008
FC Dallas,Colorado Rapids,2008
Toronto FC,Chivas USA,2008
Columbus Crew SC,New England Revolution,2008
Chicago Fire FC,New York Red Bulls,2008
San Jose Earthquakes,DC United,2008
LA Galaxy,Real Salt Lake,2008
Houston Dynamo,Sporting Kansas City,2008
New England Revolution,Chivas USA,2008
Toronto FC,Columbus Crew SC,2008
Sporting Kansas City,LA Galaxy,2008
DC United,FC Dallas,2008
New York Red Bulls,Real Salt Lake,2008
San Jose Earthquakes,Houston Dynamo,2008
Colorado Rapids,Chicago Fire FC,2008
Columbus Crew SC,New York Red Bulls,2008
Sporting Kansas City,Toronto FC,2008
Colorado Rapids,New England Revolution,2008
