Home,Away,Year
Seattle Sounders FC,Sporting Kansas City,2014
DC United,Columbus Crew SC,2014
Vancouver Whitecaps,New York Red Bulls,2014
FC Dallas,Montreal Impact,2014
Houston Dynamo,New England Revolution,2014
LA Galaxy,Real Salt Lake,2014
Portland Timbers,Philadelphia Union,2014
Chivas USA,Chicago Fire FC,2014
New York Red Bulls,Colorado Rapids,2014
Philadelphia Union,New England Revolution,2014
Seattle Sounders FC,Toronto FC,2014
Houston Dynamo,Montreal Impact,2014
Sporting Kansas City,FC Dallas,2014
San Jose Earthquakes,Real Salt Lake,2014
Portland Timbers,Chicago Fire FC,2014
Chivas USA,Vancouver Whitecaps,2014
New England Revolution,Vancouver Whitecaps,2014
Real Salt Lake,LA Galaxy,2014
Toronto FC,DC United,2014
Colorado Rapids,Portland Timbers,2014
Columbus Crew SC,Philadelphia Union,2014
FC Dallas,Chivas USA,2014
Sporting Kansas City,San Jose Earthquakes,2014
Chicago Fire FC,New York Red Bulls,2014
Montreal Impact,Seattle Sounders FC,2014
DC United,Chicago Fire FC,2014
Philadelphia Union,Montreal Impact,2014
Colorado Rapids,Sporting Kansas City,2014
Vancouver Whitecaps,Houston Dynamo,2014
FC Dallas,Portland Timbers,2014
Real Salt Lake,Toronto FC,2014
Seattle Sounders FC,Columbus Crew SC,2014
San Jose Earthquakes,New England Revolution,2014
New York Red Bulls,Chivas USA,2014
Portland Timbers,Seattle Sounders FC,2014
Montreal Impact,New York Red Bulls,2014
Chicago Fire FC,Philadelphia Union,2014
Columbus Crew SC,Toronto FC,2014
Vancouver Whitecaps,Colorado Rapids,2014
DC United,New England Revolution,2014
Houston Dynamo,FC Dallas,2014
Sporting Kansas City,Real Salt Lake,2014
Chivas USA,LA Galaxy,2014
Montreal Impact,Chicago Fire FC,2014
Philadelphia Union,Real Salt Lake,2014
Toronto FC,Colorado Rapids,2014
New England Revolution,Houston Dynamo,2014
DC United,New York Red Bulls,2014
FC Dallas,Seattle Sounders FC,2014
LA Galaxy,Vancouver Whitecaps,2014
Portland Timbers,Chivas USA,2014
San Jose Earthquakes,Columbus Crew SC,2014
New York Red Bulls,Philadelphia Union,2014
Chicago Fire FC,New England Revolution,2014
Philadelphia Union,Houston Dynamo,2014
Colorado Rapids,San Jose Earthquakes,2014
Vancouver Whitecaps,LA Galaxy,2014
Columbus Crew SC,DC United,2014
