Home,Away,Year
Portland Timbers,Minnesota United FC,2017
Columbus Crew SC,Chicago Fire FC,2017
LA Galaxy,FC Dallas,2017
Real Salt Lake,Toronto FC,2017
Colorado Rapids,New England Revolution,2017
DC United,Sporting Kansas City,2017
Houston Dynamo,Seattle Sounders FC,2017
San Jose Earthquakes,Montreal Impact,2017
Orlando City SC,New York City FC,2017
Atlanta United FC,New York Red Bulls,2017
Vancouver Whitecaps,Philadelphia Union,2017
Chicago Fire FC,Real Salt Lake,2017
New York Red Bulls,Colorado Rapids,2017
Philadelphia Union,Toronto FC,2017
Montreal Impact,Seattle Sounders FC,2017
Houston Dynamo,Columbus Crew SC,2017
Sporting Kansas City,FC Dallas,2017
San Jose Earthquakes,Vancouver Whitecaps,2017
New York City FC,DC United,2017
Minnesota United FC,Atlanta United FC,2017
LA Galaxy,Portland Timbers,2017
New York City FC,Montreal Impact,2017
Atlanta United FC,Chicago Fire FC,2017
Vancouver Whitecaps,Toronto FC,2017
DC United,Columbus Crew SC,2017
Orlando City SC,Philadelphia Union,2017
FC Dallas,New England Revolution,2017
Sporting Kansas City,San Jose Earthquakes,2017
Colorado Rapids,Minnesota United FC,2017
Real Salt Lake,LA Galaxy,2017
Portland Timbers,Houston Dynamo,2017
Seattle Sounders FC,New York Red Bulls,2017
New England Revolution,Minnesota United FC,2017
New York Red Bulls,Real Salt Lake,2017
Columbus Crew SC,Portland Timbers,2017
Toronto FC,Sporting Kansas City,2017
Seattle Sounders FC,Atlanta United FC,2017
New York City FC,San Jose Earthquakes,2017
Chicago Fire FC,Montreal Impact,2017
Columbus Crew SC,Orlando City SC,2017
DC United,Philadelphia Union,2017
Minnesota United FC,Real Salt Lake,2017
Houston Dynamo,New York Red Bulls,2017
Vancouver Whitecaps,LA Galaxy,2017
Portland Timbers,New England Revolution,2017
LA Galaxy,Montreal Impact,2017
Chicago Fire FC,Columbus Crew SC,2017
New England Revolution,Houston Dynamo,2017
DC United,New York City FC,2017
Philadelphia Union,Portland Timbers,2017
Toronto FC,Atlanta United FC,2017
FC Dallas,Minnesota United FC,2017
Real Salt Lake,Vancouver Whitecaps,2017
San Jose Earthquakes,Seattle Sounders FC,2017
Orlando City SC,New York Red Bulls,2017
Sporting Kansas City,Colorado Rapids,2017
Philadelphia Union,New York City FC,2017
Vancouver Whitecaps,Seattle Sounders FC,2017
San Jose Earthquakes,FC Dallas,2017
Montreal Impact,Atlanta United FC,2017
Orlando City SC,LA Galaxy,2017
Chicago Fire FC,New England Revolution,2017
New York Red Bulls,DC United,2017
Columbus Crew SC,Toronto FC,2017
Houston Dynamo,Minnesota United FC,2017
Colorado Rapids,Real Salt Lake,2017
Portland Timbers,Sporting Kansas City,2017
New England Revolution,San Jose Earthquakes,2017
Toronto FC,Chicago Fire FC,2017
Philadelphia Union,Montreal Impact,2017
Houston Dynamo,San Jose Earthquakes,2017
Portland Timbers,Vancouver Whitecaps,2017
New England Revolution,DC United,2017
New York Red Bulls,Columbus Crew SC,2017
FC Dallas,Sporting Kansas City,2017
Real Salt Lake,Atlanta United FC,2017
New York City FC,Orlando City SC,2017
LA Galaxy,Seattle Sounders FC,2017
Minnesota United FC,Colorado Rapids,2017
Toronto FC,Houston Dynamo,2017
Montreal Impact,Vancouver Whitecaps,2017
Orlando City SC,Colorado Rapids,2017
Columbus Crew SC,New York City FC,2017
New York Red Bulls,Chicago Fire FC,2017
FC Dallas,Portland Timbers,2017
Minnesota United FC,San Jose Earthquakes,2017
Sporting Kansas City,Real Salt Lake,2017
Seattle Sounders FC,New England Revolution,2017
LA Galaxy,Philadelphia Union,2017
Atlanta United FC,DC United,2017
Toronto FC,Orlando City SC,2017
Sporting Kansas City,New York Red Bulls,2017
Colorado Rapids,Vancouver Whitecaps,2017
Seattle Sounders FC,Toronto FC,2017
DC United,Montreal Impact,2017
Philadelphia Union,New York Red Bulls,2017
Columbus Crew SC,New England Revolution,2017
Houston Dynamo,Orlando City SC,2017
Real Salt Lake,FC Dallas,2017
LA Galaxy,Chicago Fire FC,2017
San Jose Earthquakes,Portland Timbers,2017
Minnesota United FC,Sporting Kansas City,2017
New York City FC,Atlanta United FC,2017
Columbus Crew SC,Toronto FC,2017
Houston Dynamo,Vancouver Whitecaps,2017
Toronto FC,Minnesota United FC,2017
Colorado Rapids,San Jose Earthquakes,2017
Montreal Impact,Columbus Crew SC,2017
DC United,Philadelphia Union,2017
Orlando City SC,Sporting Kansas City,2017
New England Revolution,Real Salt Lake,2017
Chicago Fire FC,Seattle Sounders FC,2017
Portland Timbers,Atlanta United FC,2017
New York Red Bulls,LA Galaxy,2017
FC Dallas,New York City FC,2017
Philadelphia Union,Houston Dynamo,2017
Chicago Fire FC,Colorado Rapids,2017
Sporting Kansas City,Seattle Sounders FC,2017
Real Salt Lake,New York City FC,2017
San Jose Earthquakes,Orlando City SC,2017
New York Red Bulls,Toronto FC,2017
Montreal Impact,Portland Timbers,2017
DC United,Chicago Fire FC,2017
Seattle Sounders FC,Real Salt Lake,2017
Atlanta United FC,Houston Dynamo,2017
Philadelphia Union,Colorado Rapids,2017
Vancouver Whitecaps,Sporting Kansas City,2017
FC Dallas,San Jose Earthquakes,2017
New England Revolution,Columbus Crew SC,2017
Minnesota United FC,LA Galaxy,2017
Orlando City SC,New York City FC,2017
Chicago Fire FC,FC Dallas,2017
Toronto FC,Columbus Crew SC,2017
Seattle Sounders FC,Portland Timbers,2017
Vancouver Whitecaps,DC United,2017
New York Red Bulls,New England Revolution,2017
Colorado Rapids,Sporting Kansas City,2017
Minnesota United FC,Orlando City SC,2017
Real Salt Lake,Philadelphia Union,2017
San Jose Earthquakes,LA Galaxy,2017
Atlanta United FC,New York City FC,2017
FC Dallas,Houston Dynamo,2017
Columbus Crew SC,Seattle Sounders FC,2017
New York City FC,New England Revolution,2017
Orlando City SC,DC United,2017
Houston Dynamo,Real Salt Lake,2017
Portland Timbers,San Jose Earthquakes,2017
New York City FC,Philadelphia Union,2017
Sporting Kansas City,Minnesota United FC,2017
Vancouver Whitecaps,Atlanta United FC,2017
DC United,LA Galaxy,2017
Montreal Impact,New York Red Bulls,2017
New England Revolution,Toronto FC,2017
FC Dallas,Real Salt Lake,2017
Colorado Rapids,Columbus Crew SC,2017
Orlando City SC,Chicago Fire FC,2017
Seattle Sounders FC,Houston Dynamo,2017
Chicago Fire FC,Atlanta United FC,2017
Sporting Kansas City,Montreal Impact,2017
Portland Timbers,FC Dallas,2017
New York City FC,Seattle Sounders FC,2017
Atlanta United FC,Columbus Crew SC,2017
New England Revolution,Chicago Fire FC,2017
Orlando City SC,Montreal Impact,2017
Toronto FC,DC United,2017
San Jose Earthquakes,Sporting Kansas City,2017
Colorado Rapids,Portland Timbers,2017
Real Salt Lake,Minnesota United FC,2017
Vancouver Whitecaps,FC Dallas,2017
LA Galaxy,Houston Dynamo,2017
Philadelphia Union,New York Red Bulls,2017
DC United,Atlanta United FC,2017
Minnesota United FC,Portland Timbers,2017
Colorado Rapids,LA Galaxy,2017
Seattle Sounders FC,Orlando City SC,2017
Toronto FC,New England Revolution,2017
Houston Dynamo,FC Dallas,2017
New York Red Bulls,New York City FC,2017
Atlanta United FC,Colorado Rapids,2017
Philadelphia Union,DC United,2017
Columbus Crew SC,Montreal Impact,2017
Minnesota United FC,Vancouver Whitecaps,2017
Chicago Fire FC,Orlando City SC,2017
LA Galaxy,Sporting Kansas City,2017
San Jose Earthquakes,Real Salt Lake,2017
Portland Timbers,Seattle Sounders FC,2017
New York City FC,Minnesota United FC,2017
Real Salt Lake,Orlando City SC,2017
Chicago Fire FC,Vancouver Whitecaps,2017
FC Dallas,Toronto FC,2017
Montreal Impact,DC United,2017
Sporting Kansas City,Portland Timbers,2017
Columbus Crew SC,Atlanta United FC,2017
Colorado Rapids,Houston Dynamo,2017
San Jose Earthquakes,LA Galaxy,2017
Philadelphia Union,New England Revolution,2017
Atlanta United FC,San Jose Earthquakes,2017
Minnesota United FC,Columbus Crew SC,2017
FC Dallas,DC United,2017
Colorado Rapids,Seattle Sounders FC,2017
LA Galaxy,Real Salt Lake,2017
New England Revolution,New York Red Bulls,2017
Orlando City SC,Toronto FC,2017
Houston Dynamo,Montreal Impact,2017
Vancouver Whitecaps,New York City FC,2017
Portland Timbers,Chicago Fire FC,2017
Sporting Kansas City,Philadelphia Union,2017
Montreal Impact,Philadelphia Union,2017
New York City FC,Toronto FC,2017
New York Red Bulls,San Jose Earthquakes,2017
Minnesota United FC,Houston Dynamo,2017
LA Galaxy,Vancouver Whitecaps,2017
Portland Timbers,Real Salt Lake,2017
Seattle Sounders FC,DC United,2017
Orlando City SC,Atlanta United FC,2017
New York City FC,Chicago Fire FC,2017
Minnesota United FC,New York Red Bulls,2017
DC United,Houston Dynamo,2017
Toronto FC,Colorado Rapids,2017
Columbus Crew SC,Philadelphia Union,2017
Montreal Impact,FC Dallas,2017
New England Revolution,LA Galaxy,2017
Real Salt Lake,Sporting Kansas City,2017
Vancouver Whitecaps,Portland Timbers,2017
Seattle Sounders FC,San Jose Earthquakes,2017
Philadelphia Union,Columbus Crew SC,2017
Atlanta United FC,Orlando City SC,2017
New England Revolution,Philadelphia Union,2017
New York Red Bulls,Montreal Impact,2017
FC Dallas,Vancouver Whitecaps,2017
Houston Dynamo,Portland Timbers,2017
Minnesota United FC,DC United,2017
Real Salt Lake,Columbus Crew SC,2017
San Jose Earthquakes,Colorado Rapids,2017
Sporting Kansas City,Chicago Fire FC,2017
LA Galaxy,Seattle Sounders FC,2017
Toronto FC,New York City FC,2017
DC United,Toronto FC,2017
Philadelphia Union,FC Dallas,2017
Montreal Impact,Orlando City SC,2017
Minnesota United FC,Seattle Sounders FC,2017
Chicago Fire FC,New England Revolution,2017
Colorado Rapids,Vancouver Whitecaps,2017
Real Salt Lake,Houston Dynamo,2017
San Jose Earthquakes,Columbus Crew SC,2017
Portland Timbers,LA Galaxy,2017
New York City FC,New York Red Bulls,2017
Sporting Kansas City,Atlanta United FC,2017
Seattle Sounders FC,Sporting Kansas City,2017
Toronto FC,Portland Timbers,2017
Columbus Crew SC,Chicago Fire FC,2017
New York Red Bulls,Orlando City SC,2017
FC Dallas,Colorado Rapids,2017
New England Revolution,Vancouver Whitecaps,2017
Philadelphia Union,Montreal Impact,2017
Houston Dynamo,San Jose Earthquakes,2017
LA Galaxy,New York City FC,2017
DC United,Real Salt Lake,2017
Montreal Impact,Chicago Fire FC,2017
Portland Timbers,New York Red Bulls,2017
Montreal Impact,Real Salt Lake,2017
Orlando City SC,Columbus Crew SC,2017
Chicago Fire FC,Toronto FC,2017
Sporting Kansas City,FC Dallas,2017
Colorado Rapids,DC United,2017
Vancouver Whitecaps,Houston Dynamo,2017
San Jose Earthquakes,Philadelphia Union,2017
New York City FC,New England Revolution,2017
Seattle Sounders FC,Minnesota United FC,2017
Columbus Crew SC,LA Galaxy,2017
DC United,Atlanta United FC,2017
FC Dallas,Houston Dynamo,2017
Toronto FC,Philadelphia Union,2017
Real Salt Lake,San Jose Earthquakes,2017
Vancouver Whitecaps,Seattle Sounders FC,2017
Portland Timbers,Colorado Rapids,2017
New York Red Bulls,New York City FC,2017
DC United,New England Revolution,2017
Philadelphia Union,Atlanta United FC,2017
Columbus Crew SC,FC Dallas,2017
Orlando City SC,Vancouver Whitecaps,2017
Chicago Fire FC,Minnesota United FC,2017
Real Salt Lake,Colorado Rapids,2017
Montreal Impact,Toronto FC,2017
LA Galaxy,San Jose Earthquakes,2017
Seattle Sounders FC,Portland Timbers,2017
Montreal Impact,Chicago Fire FC,2017
New England Revolution,Orlando City SC,2017
FC Dallas,New York Red Bulls,2017
LA Galaxy,Colorado Rapids,2017
New York City FC,Sporting Kansas City,2017
Chicago Fire FC,New York Red Bulls,2017
Toronto FC,San Jose Earthquakes,2017
New York City FC,Portland Timbers,2017
DC United,Orlando City SC,2017
New England Revolution,Montreal Impact,2017
Minnesota United FC,Philadelphia Union,2017
Houston Dynamo,Colorado Rapids,2017
Vancouver Whitecaps,Real Salt Lake,2017
Columbus Crew SC,Sporting Kansas City,2017
Atlanta United FC,FC Dallas,2017
Seattle Sounders FC,LA Galaxy,2017
Atlanta United FC,New England Revolution,2017
Vancouver Whitecaps,Minnesota United FC,2017
Atlanta United FC,Orlando City SC,2017
Vancouver Whitecaps,Columbus Crew SC,2017
Montreal Impact,Minnesota United FC,2017
FC Dallas,Seattle Sounders FC,2017
Chicago Fire FC,DC United,2017
Sporting Kansas City,New England Revolution,2017
Colorado Rapids,New York City FC,2017
Real Salt Lake,Portland Timbers,2017
LA Galaxy,Toronto FC,2017
San Jose Earthquakes,Houston Dynamo,2017
New York Red Bulls,Philadelphia Union,2017
Atlanta United FC,LA Galaxy,2017
Toronto FC,Montreal Impact,2017
New York City FC,Houston Dynamo,2017
New England Revolution,Toronto FC,2017
DC United,San Jose Earthquakes,2017
Philadelphia Union,Chicago Fire FC,2017
Columbus Crew SC,New York Red Bulls,2017
Minnesota United FC,FC Dallas,2017
Real Salt Lake,Seattle Sounders FC,2017
Vancouver Whitecaps,Colorado Rapids,2017
Sporting Kansas City,LA Galaxy,2017
Atlanta United FC,Montreal Impact,2017
Portland Timbers,Orlando City SC,2017
Atlanta United FC,Philadelphia Union,2017
Montreal Impact,New York City FC,2017
New York Red Bulls,DC United,2017
Orlando City SC,New England Revolution,2017
FC Dallas,Colorado Rapids,2017
Houston Dynamo,LA Galaxy,2017
