Home,Away,Year
San Jose Earthquakes,Chicago Fire FC,2017
Seattle Sounders FC,Vancouver Whitecaps,2017
Orlando City SC,FC Dallas,2017
Toronto FC,New York Red Bulls,2017
Columbus Crew SC,DC United,2017
New England Revolution,Atlanta United FC,2017
Chicago Fire FC,New York City FC,2017
Houston Dynamo,Minnesota United FC,2017
Colorado Rapids,Montreal Impact,2017
Sporting Kansas City,Vancouver Whitecaps,2017
LA Galaxy,Real Salt Lake,2017
San Jose Earthquakes,Portland Timbers,2017
Philadelphia Union,Seattle Sounders FC,2017
Atlanta United FC,Minnesota United FC,2017
New York Red Bulls,Vancouver Whitecaps,2017
Minnesota United FC,Sporting Kansas City,2017
Colorado Rapids,FC Dallas,2017
Houston Dynamo,Sporting Kansas City,2017
Chicago Fire FC,Philadelphia Union,2017
New England Revolution,New York City FC,2017
New York Red Bulls,Atlanta United FC,2017
Orlando City SC,Columbus Crew SC,2017
Toronto FC,Montreal Impact,2017
Colorado Rapids,Real Salt Lake,2017
LA Galaxy,Minnesota United FC,2017
Portland Timbers,DC United,2017
Seattle Sounders FC,FC Dallas,2017
Sporting Kansas City,Houston Dynamo,2017
Vancouver Whitecaps,San Jose Earthquakes,2017
Atlanta United FC,Toronto FC,2017
DC United,New York Red Bulls,2017
FC Dallas,LA Galaxy,2017
Houston Dynamo,Chicago Fire FC,2017
Montreal Impact,New England Revolution,2017
New York City FC,Columbus Crew SC,2017
Philadelphia Union,Orlando City SC,2017
Portland Timbers,Vancouver Whitecaps,2017
Real Salt Lake,Sporting Kansas City,2017
San Jose Earthquakes,Minnesota United FC,2017
Seattle Sounders FC,Colorado Rapids,2017
