Home,Away,Year
Seattle Sounders FC,LA Galaxy,2011
Vancouver Whitecaps,Toronto FC,2011
DC United,Columbus Crew SC,2011
New York Red Bulls,Seattle Sounders FC,2011
FC Dallas,Chicago Fire FC,2011
Houston Dynamo,Philadelphia Union,2011
Colorado Rapids,Portland Timbers,2011
Chivas USA,Sporting Kansas City,2011
San Jose Earthquakes,Real Salt Lake,2011
LA Galaxy,New England Revolution,2011
Seattle Sounders FC,Houston Dynamo,2011
Toronto FC,Portland Timbers,2011
Chicago Fire FC,Sporting Kansas City,2011
Columbus Crew SC,New York Red Bulls,2011
Philadelphia Union,Vancouver Whitecaps,2011
New England Revolution,DC United,2011
FC Dallas,San Jose Earthquakes,2011
Real Salt Lake,LA Galaxy,2011
Chivas USA,Colorado Rapids,2011
Columbus Crew SC,FC Dallas,2011
Toronto FC,Chivas USA,2011
Vancouver Whitecaps,Sporting Kansas City,2011
New England Revolution,Portland Timbers,2011
New York Red Bulls,Houston Dynamo,2011
LA Galaxy,Philadelphia Union,2011
San Jose Earthquakes,Seattle Sounders FC,2011
Colorado Rapids,DC United,2011
Vancouver Whitecaps,New England Revolution,2011
FC Dallas,Colorado Rapids,2011
Seattle Sounders FC,Chicago Fire FC,2011
DC United,LA Galaxy,2011
Philadelphia Union,New York Red Bulls,2011
New England Revolution,Real Salt Lake,2011
Chivas USA,Columbus Crew SC,2011
San Jose Earthquakes,Toronto FC,2011
Houston Dynamo,Vancouver Whitecaps,2011
Toronto FC,LA Galaxy,2011
Real Salt Lake,Colorado Rapids,2011
Portland Timbers,Chicago Fire FC,2011
Philadelphia Union,Seattle Sounders FC,2011
Toronto FC,DC United,2011
Vancouver Whitecaps,Chivas USA,2011
Columbus Crew SC,Sporting Kansas City,2011
New York Red Bulls,San Jose Earthquakes,2011
Chicago Fire FC,LA Galaxy,2011
Portland Timbers,FC Dallas,2011
Houston Dynamo,New England Revolution,2011
DC United,New York Red Bulls,2011
Colorado Rapids,Seattle Sounders FC,2011
San Jose Earthquakes,Chivas USA,2011
Toronto FC,Columbus Crew SC,2011
Vancouver Whitecaps,FC Dallas,2011
New England Revolution,Sporting Kansas City,2011
Chicago Fire FC,Houston Dynamo,2011
LA Galaxy,Portland Timbers,2011
Houston Dynamo,DC United,2011
Philadelphia Union,San Jose Earthquakes,2011
Columbus Crew SC,Vancouver Whitecaps,2011
New York Red Bulls,Sporting Kansas City,2011
Colorado Rapids,Chicago Fire FC,2011
Seattle Sounders FC,Toronto FC,2011
Chivas USA,New England Revolution,2011
Portland Timbers,Real Salt Lake,2011
FC Dallas,LA Galaxy,2011
DC United,Seattle Sounders FC,2011
Houston Dynamo,Colorado Rapids,2011
Portland Timbers,Philadelphia Union,2011
Real Salt Lake,Chivas USA,2011
Toronto FC,Houston Dynamo,2011
Columbus Crew SC,Seattle Sounders FC,2011
DC United,FC Dallas,2011
New England Revolution,Colorado Rapids,2011
Chicago Fire FC,Vancouver Whitecaps,2011
LA Galaxy,New York Red Bulls,2011
Philadelphia Union,LA Galaxy,2011
FC Dallas,Toronto FC,2011
Vancouver Whitecaps,San Jose Earthquakes,2011
Toronto FC,Chicago Fire FC,2011
DC United,Colorado Rapids,2011
New England Revolution,Vancouver Whitecaps,2011
FC Dallas,Philadelphia Union,2011
Real Salt Lake,Houston Dynamo,2011
LA Galaxy,Sporting Kansas City,2011
San Jose Earthquakes,Columbus Crew SC,2011
Seattle Sounders FC,Portland Timbers,2011
New York Red Bulls,Chivas USA,2011
Philadelphia Union,Chicago Fire FC,2011
Houston Dynamo,New York Red Bulls,2011
Chivas USA,LA Galaxy,2011
Seattle Sounders FC,Sporting Kansas City,2011
San Jose Earthquakes,New England Revolution,2011
Portland Timbers,Columbus Crew SC,2011
Colorado Rapids,Toronto FC,2011
FC Dallas,Real Salt Lake,2011
New York Red Bulls,Colorado Rapids,2011
Seattle Sounders FC,FC Dallas,2011
LA Galaxy,Houston Dynamo,2011
Toronto FC,Philadelphia Union,2011
Vancouver Whitecaps,New York Red Bulls,2011
Columbus Crew SC,Chivas USA,2011
New England Revolution,LA Galaxy,2011
Chicago Fire FC,San Jose Earthquakes,2011
Houston Dynamo,FC Dallas,2011
Colorado Rapids,Sporting Kansas City,2011
Real Salt Lake,Seattle Sounders FC,2011
Portland Timbers,DC United,2011
Chivas USA,Vancouver Whitecaps,2011
LA Galaxy,DC United,2011
Toronto FC,Sporting Kansas City,2011
New York Red Bulls,Columbus Crew SC,2011
Chicago Fire FC,Seattle Sounders FC,2011
FC Dallas,New England Revolution,2011
Colorado Rapids,Philadelphia Union,2011
Real Salt Lake,Vancouver Whitecaps,2011
Chivas USA,Portland Timbers,2011
San Jose Earthquakes,Houston Dynamo,2011
Columbus Crew SC,Real Salt Lake,2011
Sporting Kansas City,Chicago Fire FC,2011
New York Red Bulls,New England Revolution,2011
Philadelphia Union,Real Salt Lake,2011
DC United,San Jose Earthquakes,2011
Houston Dynamo,Chivas USA,2011
LA Galaxy,Toronto FC,2011
Portland Timbers,Colorado Rapids,2011
Seattle Sounders FC,Vancouver Whitecaps,2011
Columbus Crew SC,Chicago Fire FC,2011
FC Dallas,Sporting Kansas City,2011
New England Revolution,Toronto FC,2011
Sporting Kansas City,San Jose Earthquakes,2011
Toronto FC,Seattle Sounders FC,2011
New England Revolution,Chicago Fire FC,2011
Houston Dynamo,Columbus Crew SC,2011
Colorado Rapids,LA Galaxy,2011
Real Salt Lake,DC United,2011
