Home,Away,Year
Chivas USA,DC United,2005
New York Red Bulls,Real Salt Lake,2005
San Jose Earthquakes,New England Revolution,2005
Sporting Kansas City,Colorado Rapids,2005
Columbus Crew SC,LA Galaxy,2005
FC Dallas,Chicago Fire FC,2005
San Jose Earthquakes,Chivas USA,2005
Colorado Rapids,FC Dallas,2005
LA Galaxy,Real Salt Lake,2005
DC United,Chicago Fire FC,2005
New England Revolution,Columbus Crew SC,2005
Columbus Crew SC,DC United,2005
Real Salt Lake,Colorado Rapids,2005
Chivas USA,FC Dallas,2005
Chicago Fire FC,San Jose Earthquakes,2005
New York Red Bulls,Sporting Kansas City,2005
New York Red Bulls,Chicago Fire FC,2005
Colorado Rapids,Columbus Crew SC,2005
FC Dallas,Real Salt Lake,2005
LA Galaxy,Chivas USA,2005
San Jose Earthquakes,Sporting Kansas City,2005
DC United,New England Revolution,2005
Chicago Fire FC,New England Revolution,2005
Sporting Kansas City,DC United,2005
Colorado Rapids,New York Red Bulls,2005
LA Galaxy,FC Dallas,2005
Columbus Crew SC,Chicago Fire FC,2005
New England Revolution,Chivas USA,2005
Real Salt Lake,San Jose Earthquakes,2005
New York Red Bulls,San Jose Earthquakes,2005
Chivas USA,Real Salt Lake,2005
Sporting Kansas City,FC Dallas,2005
DC United,Columbus Crew SC,2005
New England Revolution,Chicago Fire FC,2005
LA Galaxy,Colorado Rapids,2005
New England Revolution,DC United,2005
Colorado Rapids,Chivas USA,2005
San Jose Earthquakes,FC Dallas,2005
Chicago Fire FC,New York Red Bulls,2005
Columbus Crew SC,Sporting Kansas City,2005
Real Salt Lake,LA Galaxy,2005
FC Dallas,Colorado Rapids,2005
Real Salt Lake,Chivas USA,2005
New York Red Bulls,New England Revolution,2005
LA Galaxy,San Jose Earthquakes,2005
Chicago Fire FC,Colorado Rapids,2005
Columbus Crew SC,Real Salt Lake,2005
DC United,Sporting Kansas City,2005
Chivas USA,FC Dallas,2005
Sporting Kansas City,New York Red Bulls,2005
Colorado Rapids,San Jose Earthquakes,2005
LA Galaxy,Columbus Crew SC,2005
Chivas USA,LA Galaxy,2005
Sporting Kansas City,San Jose Earthquakes,2005
Columbus Crew SC,New York Red Bulls,2005
DC United,FC Dallas,2005
New England Revolution,Colorado Rapids,2005
Real Salt Lake,Chicago Fire FC,2005
New York Red Bulls,Chicago Fire FC,2005
Chivas USA,Sporting Kansas City,2005
Chicago Fire FC,Chivas USA,2005
LA Galaxy,New York Red Bulls,2005
New England Revolution,Sporting Kansas City,2005
San Jose Earthquakes,DC United,2005
Real Salt Lake,FC Dallas,2005
Columbus Crew SC,Colorado Rapids,2005
LA Galaxy,Real Salt Lake,2005
Sporting Kansas City,New England Revolution,2005
Chivas USA,San Jose Earthquakes,2005
Chicago Fire FC,FC Dallas,2005
New York Red Bulls,DC United,2005
Colorado Rapids,LA Galaxy,2005
DC United,Chicago Fire FC,2005
Chicago Fire FC,Sporting Kansas City,2005
Chivas USA,Colorado Rapids,2005
San Jose Earthquakes,Real Salt Lake,2005
DC United,New England Revolution,2005
FC Dallas,LA Galaxy,2005
New York Red Bulls,Columbus Crew SC,2005
Columbus Crew SC,New England Revolution,2005
FC Dallas,Chivas USA,2005
Real Salt Lake,LA Galaxy,2005
Colorado Rapids,FC Dallas,2005
San Jose Earthquakes,LA Galaxy,2005
Sporting Kansas City,Chivas USA,2005
New England Revolution,New York Red Bulls,2005
Chicago Fire FC,Real Salt Lake,2005
Sporting Kansas City,Columbus Crew SC,2005
Chicago Fire FC,DC United,2005
San Jose Earthquakes,Colorado Rapids,2005
Chivas USA,Chicago Fire FC,2005
Columbus Crew SC,DC United,2005
FC Dallas,San Jose Earthquakes,2005
LA Galaxy,New England Revolution,2005
Colorado Rapids,Sporting Kansas City,2005
Real Salt Lake,New York Red Bulls,2005
DC United,Sporting Kansas City,2005
Chivas USA,Real Salt Lake,2005
Chicago Fire FC,New England Revolution,2005
Columbus Crew SC,San Jose Earthquakes,2005
New York Red Bulls,LA Galaxy,2005
DC United,San Jose Earthquakes,2005
Chicago Fire FC,Columbus Crew SC,2005
LA Galaxy,Chivas USA,2005
New England Revolution,FC Dallas,2005
Sporting Kansas City,Real Salt Lake,2005
New York Red Bulls,Colorado Rapids,2005
Sporting Kansas City,DC United,2005
Colorado Rapids,San Jose Earthquakes,2005
Columbus Crew SC,New York Red Bulls,2005
Chivas USA,New England Revolution,2005
LA Galaxy,DC United,2005
Colorado Rapids,Chicago Fire FC,2005
San Jose Earthquakes,New York Red Bulls,2005
Columbus Crew SC,Sporting Kansas City,2005
Real Salt Lake,FC Dallas,2005
New England Revolution,LA Galaxy,2005
New York Red Bulls,FC Dallas,2005
Real Salt Lake,Chivas USA,2005
Colorado Rapids,LA Galaxy,2005
San Jose Earthquakes,Columbus Crew SC,2005
Chicago Fire FC,DC United,2005
FC Dallas,New York Red Bulls,2005
New England Revolution,Sporting Kansas City,2005
Chivas USA,LA Galaxy,2005
Chicago Fire FC,Sporting Kansas City,2005
DC United,New York Red Bulls,2005
New England Revolution,Real Salt Lake,2005
DC United,Chivas USA,2005
San Jose Earthquakes,Colorado Rapids,2005
Chicago Fire FC,LA Galaxy,2005
FC Dallas,New England Revolution,2005
Real Salt Lake,Sporting Kansas City,2005
New York Red Bulls,Columbus Crew SC,2005
Colorado Rapids,New England Revolution,2005
Sporting Kansas City,Chicago Fire FC,2005
Columbus Crew SC,FC Dallas,2005
DC United,LA Galaxy,2005
Real Salt Lake,San Jose Earthquakes,2005
New York Red Bulls,Chivas USA,2005
Sporting Kansas City,Columbus Crew SC,2005
FC Dallas,Chivas USA,2005
New England Revolution,DC United,2005
San Jose Earthquakes,LA Galaxy,2005
DC United,Real Salt Lake,2005
Chivas USA,Columbus Crew SC,2005
Colorado Rapids,DC United,2005
FC Dallas,San Jose Earthquakes,2005
New York Red Bulls,Sporting Kansas City,2005
Real Salt Lake,New England Revolution,2005
LA Galaxy,Chicago Fire FC,2005
LA Galaxy,Colorado Rapids,2005
San Jose Earthquakes,Chivas USA,2005
Sporting Kansas City,New York Red Bulls,2005
FC Dallas,DC United,2005
New England Revolution,Columbus Crew SC,2005
Chivas USA,San Jose Earthquakes,2005
Sporting Kansas City,LA Galaxy,2005
Columbus Crew SC,Chicago Fire FC,2005
DC United,Colorado Rapids,2005
New York Red Bulls,New England Revolution,2005
FC Dallas,Real Salt Lake,2005
Colorado Rapids,Real Salt Lake,2005
Columbus Crew SC,New England Revolution,2005
FC Dallas,LA Galaxy,2005
San Jose Earthquakes,Chicago Fire FC,2005
Chivas USA,Colorado Rapids,2005
San Jose Earthquakes,FC Dallas,2005
New England Revolution,New York Red Bulls,2005
Real Salt Lake,Columbus Crew SC,2005
Colorado Rapids,Real Salt Lake,2005
LA Galaxy,FC Dallas,2005
Sporting Kansas City,Chicago Fire FC,2005
Columbus Crew SC,Chivas USA,2005
New England Revolution,San Jose Earthquakes,2005
New York Red Bulls,DC United,2005
Chicago Fire FC,New York Red Bulls,2005
Colorado Rapids,Chivas USA,2005
FC Dallas,Columbus Crew SC,2005
Real Salt Lake,DC United,2005
San Jose Earthquakes,Real Salt Lake,2005
Sporting Kansas City,New England Revolution,2005
Chicago Fire FC,Columbus Crew SC,2005
DC United,New York Red Bulls,2005
FC Dallas,Colorado Rapids,2005
Real Salt Lake,Colorado Rapids,2005
LA Galaxy,San Jose Earthquakes,2005
DC United,Columbus Crew SC,2005
FC Dallas,Sporting Kansas City,2005
New England Revolution,Chicago Fire FC,2005
Chivas USA,New York Red Bulls,2005
Sporting Kansas City,LA Galaxy,2005
