Home,Away,Year
Philadelphia Union,Sporting Kansas City,2013
Vancouver Whitecaps,Toronto FC,2013
Houston Dynamo,DC United,2013
FC Dallas,Colorado Rapids,2013
Chivas USA,Columbus Crew SC,2013
Seattle Sounders FC,Montreal Impact,2013
LA Galaxy,Chicago Fire FC,2013
Portland Timbers,New York Red Bulls,2013
San Jose Earthquakes,Real Salt Lake,2013
Toronto FC,Sporting Kansas City,2013
DC United,Real Salt Lake,2013
Chicago Fire FC,New England Revolution,2013
Vancouver Whitecaps,Columbus Crew SC,2013
Portland Timbers,Montreal Impact,2013
Colorado Rapids,Philadelphia Union,2013
Chivas USA,FC Dallas,2013
San Jose Earthquakes,New York Red Bulls,2013
New York Red Bulls,DC United,2013
Sporting Kansas City,Chicago Fire FC,2013
Montreal Impact,Toronto FC,2013
Philadelphia Union,New England Revolution,2013
Columbus Crew SC,San Jose Earthquakes,2013
Real Salt Lake,Colorado Rapids,2013
Seattle Sounders FC,Portland Timbers,2013
FC Dallas,Houston Dynamo,2013
LA Galaxy,Chivas USA,2013
DC United,Columbus Crew SC,2013
New England Revolution,Sporting Kansas City,2013
Montreal Impact,New York Red Bulls,2013
FC Dallas,Real Salt Lake,2013
Houston Dynamo,Vancouver Whitecaps,2013
LA Galaxy,Colorado Rapids,2013
San Jose Earthquakes,Seattle Sounders FC,2013
Chicago Fire FC,Chivas USA,2013
Toronto FC,LA Galaxy,2013
New York Red Bulls,Philadelphia Union,2013
New England Revolution,FC Dallas,2013
Colorado Rapids,Portland Timbers,2013
Houston Dynamo,San Jose Earthquakes,2013
Sporting Kansas City,Montreal Impact,2013
Real Salt Lake,Seattle Sounders FC,2013
Chivas USA,Vancouver Whitecaps,2013
Sporting Kansas City,DC United,2013
Toronto FC,FC Dallas,2013
Columbus Crew SC,Philadelphia Union,2013
Colorado Rapids,Real Salt Lake,2013
Portland Timbers,Houston Dynamo,2013
San Jose Earthquakes,Vancouver Whitecaps,2013
Chicago Fire FC,New York Red Bulls,2013
Philadelphia Union,Toronto FC,2013
Seattle Sounders FC,New England Revolution,2013
Vancouver Whitecaps,Real Salt Lake,2013
DC United,New York Red Bulls,2013
FC Dallas,LA Galaxy,2013
Chivas USA,Colorado Rapids,2013
Montreal Impact,Columbus Crew SC,2013
Houston Dynamo,Chicago Fire FC,2013
Portland Timbers,San Jose Earthquakes,2013
New York Red Bulls,Sporting Kansas City,2013
Toronto FC,Houston Dynamo,2013
Colorado Rapids,Seattle Sounders FC,2013
New York Red Bulls,New England Revolution,2013
Chicago Fire FC,Columbus Crew SC,2013
FC Dallas,Vancouver Whitecaps,2013
Real Salt Lake,Chivas USA,2013
LA Galaxy,Sporting Kansas City,2013
DC United,Philadelphia Union,2013
San Jose Earthquakes,Portland Timbers,2013
Toronto FC,New York Red Bulls,2013
Montreal Impact,Chicago Fire FC,2013
Vancouver Whitecaps,FC Dallas,2013
Columbus Crew SC,DC United,2013
New England Revolution,Philadelphia Union,2013
Sporting Kansas City,Portland Timbers,2013
Real Salt Lake,LA Galaxy,2013
Chivas USA,San Jose Earthquakes,2013
Houston Dynamo,Colorado Rapids,2013
Portland Timbers,New England Revolution,2013
Columbus Crew SC,New York Red Bulls,2013
Philadelphia Union,Seattle Sounders FC,2013
San Jose Earthquakes,Montreal Impact,2013
Colorado Rapids,Toronto FC,2013
Real Salt Lake,Vancouver Whitecaps,2013
Sporting Kansas City,Chivas USA,2013
LA Galaxy,Houston Dynamo,2013
DC United,Houston Dynamo,2013
New York Red Bulls,Montreal Impact,2013
New England Revolution,Real Salt Lake,2013
Sporting Kansas City,Seattle Sounders FC,2013
FC Dallas,Portland Timbers,2013
San Jose Earthquakes,Toronto FC,2013
Chicago Fire FC,Philadelphia Union,2013
Montreal Impact,Real Salt Lake,2013
Seattle Sounders FC,San Jose Earthquakes,2013
Vancouver Whitecaps,LA Galaxy,2013
Columbus Crew SC,Colorado Rapids,2013
New England Revolution,New York Red Bulls,2013
FC Dallas,DC United,2013
Portland Timbers,Chivas USA,2013
Houston Dynamo,Sporting Kansas City,2013
Philadelphia Union,LA Galaxy,2013
Toronto FC,Columbus Crew SC,2013
Vancouver Whitecaps,Portland Timbers,2013
Philadelphia Union,Chicago Fire FC,2013
Houston Dynamo,New England Revolution,2013
San Jose Earthquakes,Colorado Rapids,2013
Seattle Sounders FC,FC Dallas,2013
New York Red Bulls,LA Galaxy,2013
DC United,Sporting Kansas City,2013
Chivas USA,Real Salt Lake,2013
DC United,Portland Timbers,2013
Montreal Impact,Philadelphia Union,2013
New England Revolution,Toronto FC,2013
FC Dallas,San Jose Earthquakes,2013
Colorado Rapids,Chivas USA,2013
Real Salt Lake,Chicago Fire FC,2013
Sporting Kansas City,Houston Dynamo,2013
New York Red Bulls,Columbus Crew SC,2013
LA Galaxy,Seattle Sounders FC,2013
Toronto FC,Philadelphia Union,2013
New York Red Bulls,Vancouver Whitecaps,2013
Columbus Crew SC,Houston Dynamo,2013
Sporting Kansas City,Montreal Impact,2013
Colorado Rapids,FC Dallas,2013
Real Salt Lake,San Jose Earthquakes,2013
Chivas USA,Seattle Sounders FC,2013
New England Revolution,LA Galaxy,2013
Chicago Fire FC,DC United,2013
Philadelphia Union,Columbus Crew SC,2013
