Home,Away,Year
Philadelphia Union,Toronto FC,2019
Orlando City SC,New York City FC,2019
Columbus Crew SC,New York Red Bulls,2019
FC Dallas,New England Revolution,2019
Colorado Rapids,Portland Timbers,2019
Houston Dynamo,Real Salt Lake,2019
Vancouver Whitecaps,Minnesota United FC,2019
LA Galaxy,Chicago Fire FC,2019
San Jose Earthquakes,Montreal Impact,2019
Seattle Sounders FC,FC Cincinnati,2019
DC United,Atlanta United FC,2019
LAFC,Sporting Kansas City,2019
Chicago Fire FC,Orlando City SC,2019
New England Revolution,Columbus Crew SC,2019
FC Dallas,LA Galaxy,2019
Houston Dynamo,Montreal Impact,2019
Real Salt Lake,Vancouver Whitecaps,2019
San Jose Earthquakes,Minnesota United FC,2019
Seattle Sounders FC,Colorado Rapids,2019
New York City FC,DC United,2019
Sporting Kansas City,Philadelphia Union,2019
Atlanta United FC,FC Cincinnati,2019
LAFC,Portland Timbers,2019
Chicago Fire FC,Seattle Sounders FC,2019
Columbus Crew SC,FC Dallas,2019
Houston Dynamo,Vancouver Whitecaps,2019
New York Red Bulls,San Jose Earthquakes,2019
Orlando City SC,Montreal Impact,2019
DC United,Real Salt Lake,2019
LA Galaxy,Minnesota United FC,2019
New York City FC,LAFC,2019
FC Cincinnati,Portland Timbers,2019
Atlanta United FC,Philadelphia Union,2019
Toronto FC,New England Revolution,2019
Colorado Rapids,Sporting Kansas City,2019
FC Dallas,Colorado Rapids,2019
New York Red Bulls,Orlando City SC,2019
Philadelphia Union,Columbus Crew SC,2019
LAFC,Real Salt Lake,2019
New England Revolution,FC Cincinnati,2019
Toronto FC,New York City FC,2019
Chicago Fire FC,New York Red Bulls,2019
New England Revolution,Minnesota United FC,2019
Sporting Kansas City,Montreal Impact,2019
San Jose Earthquakes,LAFC,2019
Columbus Crew SC,Atlanta United FC,2019
FC Cincinnati,Philadelphia Union,2019
Colorado Rapids,Houston Dynamo,2019
Real Salt Lake,FC Dallas,2019
Vancouver Whitecaps,Seattle Sounders FC,2019
Orlando City SC,DC United,2019
LA Galaxy,Portland Timbers,2019
Vancouver Whitecaps,LA Galaxy,2019
New York City FC,Montreal Impact,2019
DC United,LAFC,2019
Toronto FC,Chicago Fire FC,2019
New York Red Bulls,Minnesota United FC,2019
Columbus Crew SC,New England Revolution,2019
Orlando City SC,Colorado Rapids,2019
Philadelphia Union,FC Dallas,2019
San Jose Earthquakes,Portland Timbers,2019
Seattle Sounders FC,Real Salt Lake,2019
FC Cincinnati,Sporting Kansas City,2019
DC United,Montreal Impact,2019
Chicago Fire FC,Vancouver Whitecaps,2019
Montreal Impact,Columbus Crew SC,2019
Houston Dynamo,San Jose Earthquakes,2019
Seattle Sounders FC,Toronto FC,2019
Minnesota United FC,New York City FC,2019
New England Revolution,Atlanta United FC,2019
FC Dallas,Portland Timbers,2019
Colorado Rapids,DC United,2019
Real Salt Lake,Orlando City SC,2019
LA Galaxy,Philadelphia Union,2019
LAFC,FC Cincinnati,2019
Sporting Kansas City,New York Red Bulls,2019
Vancouver Whitecaps,LAFC,2019
FC Cincinnati,Real Salt Lake,2019
Toronto FC,Minnesota United FC,2019
LA Galaxy,Houston Dynamo,2019
Chicago Fire FC,Colorado Rapids,2019
Philadelphia Union,Montreal Impact,2019
Orlando City SC,Vancouver Whitecaps,2019
Atlanta United FC,FC Dallas,2019
Columbus Crew SC,Portland Timbers,2019
New England Revolution,New York Red Bulls,2019
San Jose Earthquakes,Sporting Kansas City,2019
DC United,New York City FC,2019
LAFC,Seattle Sounders FC,2019
