Home,Away,Year
New York City FC,Chicago Fire FC,2019
Columbus Crew SC,DC United,2019
New England Revolution,Montreal Impact,2019
Minnesota United FC,LA Galaxy,2019
Seattle Sounders FC,San Jose Earthquakes,2019
New York City FC,Orlando City SC,2019
Toronto FC,Portland Timbers,2019
FC Dallas,San Jose Earthquakes,2019
Vancouver Whitecaps,Philadelphia Union,2019
Atlanta United FC,Colorado Rapids,2019
New York Red Bulls,FC Cincinnati,2019
Houston Dynamo,Columbus Crew SC,2019
Sporting Kansas City,New England Revolution,2019
Montreal Impact,Chicago Fire FC,2019
Minnesota United FC,DC United,2019
Seattle Sounders FC,LAFC,2019
LA Galaxy,Real Salt Lake,2019
Philadelphia Union,FC Cincinnati,2019
Colorado Rapids,Vancouver Whitecaps,2019
New York Red Bulls,LA Galaxy,2019
Houston Dynamo,FC Dallas,2019
Orlando City SC,Toronto FC,2019
Montreal Impact,New York City FC,2019
Philadelphia Union,New England Revolution,2019
DC United,Columbus Crew SC,2019
Minnesota United FC,Seattle Sounders FC,2019
Real Salt Lake,Portland Timbers,2019
San Jose Earthquakes,FC Cincinnati,2019
LAFC,Chicago Fire FC,2019
Sporting Kansas City,Atlanta United FC,2019
Atlanta United FC,Toronto FC,2019
Columbus Crew SC,LA Galaxy,2019
Chicago Fire FC,New England Revolution,2019
New York Red Bulls,Montreal Impact,2019
Vancouver Whitecaps,Portland Timbers,2019
FC Cincinnati,Montreal Impact,2019
FC Dallas,New York Red Bulls,2019
Toronto FC,Philadelphia Union,2019
LA Galaxy,New York City FC,2019
Columbus Crew SC,LAFC,2019
New England Revolution,San Jose Earthquakes,2019
Chicago Fire FC,Minnesota United FC,2019
Colorado Rapids,Real Salt Lake,2019
Seattle Sounders FC,Houston Dynamo,2019
Atlanta United FC,Orlando City SC,2019
DC United,Sporting Kansas City,2019
Toronto FC,DC United,2019
Houston Dynamo,Portland Timbers,2019
Vancouver Whitecaps,Atlanta United FC,2019
Seattle Sounders FC,Orlando City SC,2019
LAFC,FC Dallas,2019
Montreal Impact,New England Revolution,2019
Real Salt Lake,Toronto FC,2019
San Jose Earthquakes,Chicago Fire FC,2019
Philadelphia Union,Seattle Sounders FC,2019
Minnesota United FC,Columbus Crew SC,2019
Houston Dynamo,DC United,2019
Sporting Kansas City,Vancouver Whitecaps,2019
Orlando City SC,FC Cincinnati,2019
New York Red Bulls,Atlanta United FC,2019
FC Dallas,LAFC,2019
LA Galaxy,Colorado Rapids,2019
New York Red Bulls,Vancouver Whitecaps,2019
Orlando City SC,LA Galaxy,2019
Real Salt Lake,Atlanta United FC,2019
LAFC,Montreal Impact,2019
Chicago Fire FC,New York City FC,2019
Vancouver Whitecaps,FC Dallas,2019
FC Cincinnati,New York Red Bulls,2019
New England Revolution,DC United,2019
Philadelphia Union,Portland Timbers,2019
Minnesota United FC,Houston Dynamo,2019
Colorado Rapids,Columbus Crew SC,2019
Sporting Kansas City,Seattle Sounders FC,2019
Toronto FC,San Jose Earthquakes,2019
Atlanta United FC,Minnesota United FC,2019
Montreal Impact,Real Salt Lake,2019
Philadelphia Union,Colorado Rapids,2019
DC United,Chicago Fire FC,2019
Sporting Kansas City,LA Galaxy,2019
Vancouver Whitecaps,Toronto FC,2019
Montreal Impact,Orlando City SC,2019
Atlanta United FC,Chicago Fire FC,2019
New York Red Bulls,Real Salt Lake,2019
Columbus Crew SC,New York City FC,2019
DC United,San Jose Earthquakes,2019
Colorado Rapids,FC Cincinnati,2019
Houston Dynamo,Sporting Kansas City,2019
FC Dallas,Seattle Sounders FC,2019
Portland Timbers,LAFC,2019
Minnesota United FC,Philadelphia Union,2019
LA Galaxy,New England Revolution,2019
Montreal Impact,Seattle Sounders FC,2019
New York City FC,FC Cincinnati,2019
Toronto FC,Sporting Kansas City,2019
San Jose Earthquakes,FC Dallas,2019
Philadelphia Union,New York Red Bulls,2019
Colorado Rapids,Minnesota United FC,2019
FC Cincinnati,LA Galaxy,2019
Chicago Fire FC,Real Salt Lake,2019
FC Dallas,Toronto FC,2019
Vancouver Whitecaps,Colorado Rapids,2019
Portland Timbers,Houston Dynamo,2019
Columbus Crew SC,Sporting Kansas City,2019
New England Revolution,Philadelphia Union,2019
DC United,Orlando City SC,2019
Toronto FC,Atlanta United FC,2019
Montreal Impact,Portland Timbers,2019
FC Dallas,Vancouver Whitecaps,2019
San Jose Earthquakes,Houston Dynamo,2019
New York Red Bulls,Chicago Fire FC,2019
Colorado Rapids,LAFC,2019
Minnesota United FC,FC Cincinnati,2019
Atlanta United FC,Montreal Impact,2019
New York City FC,Philadelphia Union,2019
Columbus Crew SC,Orlando City SC,2019
New England Revolution,Houston Dynamo,2019
DC United,Toronto FC,2019
Real Salt Lake,Sporting Kansas City,2019
San Jose Earthquakes,LA Galaxy,2019
Seattle Sounders FC,Vancouver Whitecaps,2019
Portland Timbers,FC Dallas,2019
New York City FC,Seattle Sounders FC,2019
Orlando City SC,Philadelphia Union,2019
Chicago Fire FC,Atlanta United FC,2019
Minnesota United FC,San Jose Earthquakes,2019
Sporting Kansas City,LAFC,2019
Houston Dynamo,New York Red Bulls,2019
Real Salt Lake,Columbus Crew SC,2019
FC Dallas,DC United,2019
Colorado Rapids,New England Revolution,2019
LA Galaxy,Toronto FC,2019
Columbus Crew SC,Seattle Sounders FC,2019
FC Cincinnati,Houston Dynamo,2019
Montreal Impact,Minnesota United FC,2019
Sporting Kansas City,Chicago Fire FC,2019
LAFC,Vancouver Whitecaps,2019
San Jose Earthquakes,Real Salt Lake,2019
Atlanta United FC,New York Red Bulls,2019
Philadelphia Union,Orlando City SC,2019
New York City FC,Portland Timbers,2019
DC United,New England Revolution,2019
Houston Dynamo,LAFC,2019
LA Galaxy,San Jose Earthquakes,2019
Montreal Impact,Toronto FC,2019
Orlando City SC,Columbus Crew SC,2019
Chicago Fire FC,FC Cincinnati,2019
Minnesota United FC,FC Dallas,2019
Real Salt Lake,Philadelphia Union,2019
Vancouver Whitecaps,Sporting Kansas City,2019
Portland Timbers,Colorado Rapids,2019
Seattle Sounders FC,Atlanta United FC,2019
New York Red Bulls,New York City FC,2019
Atlanta United FC,Houston Dynamo,2019
New England Revolution,Vancouver Whitecaps,2019
Chicago Fire FC,Columbus Crew SC,2019
Toronto FC,New York Red Bulls,2019
FC Cincinnati,DC United,2019
Portland Timbers,Orlando City SC,2019
LA Galaxy,LAFC,2019
Columbus Crew SC,Montreal Impact,2019
Philadelphia Union,Chicago Fire FC,2019
Toronto FC,Houston Dynamo,2019
Sporting Kansas City,FC Dallas,2019
Colorado Rapids,New York City FC,2019
Real Salt Lake,Minnesota United FC,2019
Vancouver Whitecaps,San Jose Earthquakes,2019
Atlanta United FC,DC United,2019
FC Cincinnati,New England Revolution,2019
Orlando City SC,New York Red Bulls,2019
Seattle Sounders FC,Portland Timbers,2019
New York City FC,Sporting Kansas City,2019
LAFC,Atlanta United FC,2019
New England Revolution,Orlando City SC,2019
New York Red Bulls,Columbus Crew SC,2019
Chicago Fire FC,DC United,2019
FC Dallas,Real Salt Lake,2019
Houston Dynamo,Seattle Sounders FC,2019
Minnesota United FC,Vancouver Whitecaps,2019
Montreal Impact,Philadelphia Union,2019
Toronto FC,FC Cincinnati,2019
San Jose Earthquakes,Colorado Rapids,2019
Portland Timbers,LA Galaxy,2019
Atlanta United FC,LA Galaxy,2019
New York Red Bulls,Toronto FC,2019
New England Revolution,LAFC,2019
Orlando City SC,FC Dallas,2019
FC Cincinnati,Vancouver Whitecaps,2019
Colorado Rapids,Montreal Impact,2019
Houston Dynamo,Chicago Fire FC,2019
Real Salt Lake,New York City FC,2019
San Jose Earthquakes,Columbus Crew SC,2019
Minnesota United FC,Portland Timbers,2019
DC United,Philadelphia Union,2019
Seattle Sounders FC,Sporting Kansas City,2019
New York City FC,Houston Dynamo,2019
Seattle Sounders FC,New England Revolution,2019
Columbus Crew SC,FC Cincinnati,2019
Toronto FC,Orlando City SC,2019
FC Dallas,Minnesota United FC,2019
Sporting Kansas City,Real Salt Lake,2019
Chicago Fire FC,Montreal Impact,2019
Colorado Rapids,San Jose Earthquakes,2019
Portland Timbers,Vancouver Whitecaps,2019
Atlanta United FC,New York City FC,2019
Philadelphia Union,Houston Dynamo,2019
DC United,LA Galaxy,2019
LAFC,New York Red Bulls,2019
Orlando City SC,Sporting Kansas City,2019
Minnesota United FC,Colorado Rapids,2019
Real Salt Lake,Seattle Sounders FC,2019
LA Galaxy,FC Dallas,2019
Portland Timbers,Chicago Fire FC,2019
New York Red Bulls,New England Revolution,2019
Columbus Crew SC,Toronto FC,2019
FC Cincinnati,New York City FC,2019
Montreal Impact,FC Dallas,2019
Chicago Fire FC,Philadelphia Union,2019
Minnesota United FC,Orlando City SC,2019
Sporting Kansas City,San Jose Earthquakes,2019
Houston Dynamo,Colorado Rapids,2019
LA Galaxy,Seattle Sounders FC,2019
Real Salt Lake,LAFC,2019
Vancouver Whitecaps,DC United,2019
Portland Timbers,Atlanta United FC,2019
New York City FC,Columbus Crew SC,2019
DC United,New York Red Bulls,2019
LAFC,San Jose Earthquakes,2019
Sporting Kansas City,Minnesota United FC,2019
Orlando City SC,Atlanta United FC,2019
Portland Timbers,Seattle Sounders FC,2019
New York City FC,New York Red Bulls,2019
New England Revolution,Chicago Fire FC,2019
Philadelphia Union,DC United,2019
Toronto FC,Montreal Impact,2019
Real Salt Lake,Colorado Rapids,2019
San Jose Earthquakes,Vancouver Whitecaps,2019
FC Cincinnati,Columbus Crew SC,2019
FC Dallas,Houston Dynamo,2019
LAFC,LA Galaxy,2019
Montreal Impact,Vancouver Whitecaps,2019
New York Red Bulls,Colorado Rapids,2019
Columbus Crew SC,Chicago Fire FC,2019
Montreal Impact,DC United,2019
New England Revolution,Toronto FC,2019
Philadelphia Union,Atlanta United FC,2019
FC Dallas,FC Cincinnati,2019
Sporting Kansas City,Houston Dynamo,2019
Vancouver Whitecaps,New York City FC,2019
Portland Timbers,Real Salt Lake,2019
San Jose Earthquakes,Orlando City SC,2019
Seattle Sounders FC,LA Galaxy,2019
LAFC,Minnesota United FC,2019
New York City FC,New England Revolution,2019
FC Cincinnati,Toronto FC,2019
Orlando City SC,LAFC,2019
Colorado Rapids,Seattle Sounders FC,2019
Portland Timbers,Sporting Kansas City,2019
New York City FC,Toronto FC,2019
Houston Dynamo,Minnesota United FC,2019
Colorado Rapids,LA Galaxy,2019
Real Salt Lake,San Jose Earthquakes,2019
New York City FC,San Jose Earthquakes,2019
Chicago Fire FC,FC Dallas,2019
Atlanta United FC,Columbus Crew SC,2019
Montreal Impact,FC Cincinnati,2019
Orlando City SC,New England Revolution,2019
Philadelphia Union,LAFC,2019
Vancouver Whitecaps,Houston Dynamo,2019
Portland Timbers,DC United,2019
Toronto FC,Colorado Rapids,2019
Minnesota United FC,Real Salt Lake,2019
Seattle Sounders FC,New York Red Bulls,2019
LA Galaxy,Sporting Kansas City,2019
FC Cincinnati,Atlanta United FC,2019
Portland Timbers,New York Red Bulls,2019
Seattle Sounders FC,FC Dallas,2019
Atlanta United FC,San Jose Earthquakes,2019
Vancouver Whitecaps,Columbus Crew SC,2019
FC Cincinnati,Chicago Fire FC,2019
New England Revolution,Real Salt Lake,2019
Houston Dynamo,Orlando City SC,2019
Sporting Kansas City,Colorado Rapids,2019
LA Galaxy,Montreal Impact,2019
LAFC,Toronto FC,2019
Portland Timbers,Minnesota United FC,2019
FC Dallas,New York City FC,2019
New York Red Bulls,Philadelphia Union,2019
DC United,Seattle Sounders FC,2019
New York City FC,Atlanta United FC,2019
Minnesota United FC,Sporting Kansas City,2019
Real Salt Lake,LA Galaxy,2019
LAFC,Houston Dynamo,2019
Portland Timbers,New England Revolution,2019
San Jose Earthquakes,Philadelphia Union,2019
Chicago Fire FC,Toronto FC,2019
Columbus Crew SC,Philadelphia Union,2019
FC Cincinnati,Orlando City SC,2019
Montreal Impact,Atlanta United FC,2019
New England Revolution,New York City FC,2019
New York Red Bulls,DC United,2019
Colorado Rapids,FC Dallas,2019
LA Galaxy,Vancouver Whitecaps,2019
Minnesota United FC,LAFC,2019
Real Salt Lake,Houston Dynamo,2019
San Jose Earthquakes,Seattle Sounders FC,2019
Sporting Kansas City,Portland Timbers,2019
Atlanta United FC,New England Revolution,2019
DC United,FC Cincinnati,2019
FC Dallas,Sporting Kansas City,2019
Houston Dynamo,LA Galaxy,2019
LAFC,Colorado Rapids,2019
Montreal Impact,New York Red Bulls,2019
Orlando City SC,Chicago Fire FC,2019
Philadelphia Union,New York City FC,2019
Portland Timbers,San Jose Earthquakes,2019
Seattle Sounders FC,Minnesota United FC,2019
Toronto FC,Columbus Crew SC,2019
Vancouver Whitecaps,Real Salt Lake,2019
