Home,Away,Year
LA Galaxy,Chicago Fire FC,2015
DC United,Montreal Impact,2015
Philadelphia Union,Colorado Rapids,2015
Vancouver Whitecaps,Toronto FC,2015
FC Dallas,San Jose Earthquakes,2015
Houston Dynamo,Columbus Crew SC,2015
Portland Timbers,Real Salt Lake,2015
Orlando City SC,New York City FC,2015
Sporting Kansas City,New York Red Bulls,2015
Seattle Sounders FC,New England Revolution,2015
Houston Dynamo,Orlando City SC,2015
Chicago Fire FC,Vancouver Whitecaps,2015
Columbus Crew SC,Toronto FC,2015
FC Dallas,Sporting Kansas City,2015
Real Salt Lake,Philadelphia Union,2015
Seattle Sounders FC,San Jose Earthquakes,2015
New York City FC,New England Revolution,2015
Portland Timbers,LA Galaxy,2015
New England Revolution,Montreal Impact,2015
Colorado Rapids,New York City FC,2015
Philadelphia Union,FC Dallas,2015
Orlando City SC,Vancouver Whitecaps,2015
Sporting Kansas City,Portland Timbers,2015
LA Galaxy,Houston Dynamo,2015
New York Red Bulls,DC United,2015
San Jose Earthquakes,Chicago Fire FC,2015
New England Revolution,San Jose Earthquakes,2015
Montreal Impact,Orlando City SC,2015
DC United,LA Galaxy,2015
New York City FC,Sporting Kansas City,2015
Columbus Crew SC,New York Red Bulls,2015
Vancouver Whitecaps,Portland Timbers,2015
FC Dallas,Seattle Sounders FC,2015
Houston Dynamo,Colorado Rapids,2015
Chicago Fire FC,Philadelphia Union,2015
Real Salt Lake,Toronto FC,2015
Orlando City SC,DC United,2015
Chicago Fire FC,Toronto FC,2015
Colorado Rapids,New England Revolution,2015
Seattle Sounders FC,Houston Dynamo,2015
Vancouver Whitecaps,LA Galaxy,2015
Portland Timbers,FC Dallas,2015
San Jose Earthquakes,Real Salt Lake,2015
Sporting Kansas City,Philadelphia Union,2015
Vancouver Whitecaps,Columbus Crew SC,2015
FC Dallas,Colorado Rapids,2015
New England Revolution,Columbus Crew SC,2015
Philadelphia Union,New York City FC,2015
DC United,New York Red Bulls,2015
Houston Dynamo,Montreal Impact,2015
Sporting Kansas City,Real Salt Lake,2015
San Jose Earthquakes,Vancouver Whitecaps,2015
Portland Timbers,Orlando City SC,2015
LA Galaxy,Seattle Sounders FC,2015
New York City FC,Philadelphia Union,2015
New York Red Bulls,San Jose Earthquakes,2015
DC United,Houston Dynamo,2015
Columbus Crew SC,Orlando City SC,2015
FC Dallas,Toronto FC,2015
Colorado Rapids,Seattle Sounders FC,2015
Real Salt Lake,Vancouver Whitecaps,2015
LA Galaxy,Sporting Kansas City,2015
Philadelphia Union,New England Revolution,2015
New York City FC,Portland Timbers,2015
Chicago Fire FC,New York City FC,2015
Colorado Rapids,FC Dallas,2015
Columbus Crew SC,Philadelphia Union,2015
New England Revolution,Real Salt Lake,2015
Houston Dynamo,Sporting Kansas City,2015
Vancouver Whitecaps,DC United,2015
New York Red Bulls,LA Galaxy,2015
Orlando City SC,Toronto FC,2015
Seattle Sounders FC,Portland Timbers,2015
New York Red Bulls,Colorado Rapids,2015
Houston Dynamo,FC Dallas,2015
Real Salt Lake,San Jose Earthquakes,2015
Philadelphia Union,Toronto FC,2015
DC United,Columbus Crew SC,2015
New England Revolution,New York Red Bulls,2015
LA Galaxy,Colorado Rapids,2015
Portland Timbers,Vancouver Whitecaps,2015
Sporting Kansas City,Chicago Fire FC,2015
New York City FC,Seattle Sounders FC,2015
Houston Dynamo,San Jose Earthquakes,2015
Real Salt Lake,LA Galaxy,2015
Orlando City SC,New England Revolution,2015
Colorado Rapids,San Jose Earthquakes,2015
Chicago Fire FC,Real Salt Lake,2015
Montreal Impact,Portland Timbers,2015
DC United,Sporting Kansas City,2015
Vancouver Whitecaps,Philadelphia Union,2015
Columbus Crew SC,Seattle Sounders FC,2015
FC Dallas,LA Galaxy,2015
Toronto FC,Houston Dynamo,2015
New York Red Bulls,New York City FC,2015
DC United,Orlando City SC,2015
New York City FC,Chicago Fire FC,2015
FC Dallas,New York Red Bulls,2015
Montreal Impact,Real Salt Lake,2015
Vancouver Whitecaps,Seattle Sounders FC,2015
New England Revolution,Toronto FC,2015
Houston Dynamo,Portland Timbers,2015
San Jose Earthquakes,Columbus Crew SC,2015
Orlando City SC,LA Galaxy,2015
Philadelphia Union,DC United,2015
Sporting Kansas City,New England Revolution,2015
Columbus Crew SC,Chicago Fire FC,2015
LA Galaxy,Houston Dynamo,2015
Toronto FC,Portland Timbers,2015
New England Revolution,DC United,2015
Montreal Impact,FC Dallas,2015
Colorado Rapids,Vancouver Whitecaps,2015
Real Salt Lake,New York City FC,2015
Seattle Sounders FC,Sporting Kansas City,2015
New York Red Bulls,Philadelphia Union,2015
San Jose Earthquakes,Orlando City SC,2015
Seattle Sounders FC,Colorado Rapids,2015
LA Galaxy,Real Salt Lake,2015
Portland Timbers,DC United,2015
Sporting Kansas City,FC Dallas,2015
Toronto FC,San Jose Earthquakes,2015
Vancouver Whitecaps,Real Salt Lake,2015
DC United,Philadelphia Union,2015
New York City FC,Houston Dynamo,2015
Orlando City SC,Columbus Crew SC,2015
Chicago Fire FC,Montreal Impact,2015
Colorado Rapids,Portland Timbers,2015
Seattle Sounders FC,New York Red Bulls,2015
New England Revolution,LA Galaxy,2015
DC United,Chicago Fire FC,2015
Philadelphia Union,Columbus Crew SC,2015
Montreal Impact,Vancouver Whitecaps,2015
Houston Dynamo,New York Red Bulls,2015
DC United,Toronto FC,2015
Philadelphia Union,New York City FC,2015
Columbus Crew SC,Montreal Impact,2015
Chicago Fire FC,Orlando City SC,2015
Sporting Kansas City,Seattle Sounders FC,2015
LA Galaxy,Vancouver Whitecaps,2015
Portland Timbers,New England Revolution,2015
Real Salt Lake,Colorado Rapids,2015
San Jose Earthquakes,FC Dallas,2015
New York City FC,Montreal Impact,2015
Columbus Crew SC,LA Galaxy,2015
New England Revolution,Chicago Fire FC,2015
Seattle Sounders FC,FC Dallas,2015
Orlando City SC,DC United,2015
Colorado Rapids,FC Dallas,2015
Seattle Sounders FC,San Jose Earthquakes,2015
New York Red Bulls,Vancouver Whitecaps,2015
Toronto FC,New York City FC,2015
Montreal Impact,Orlando City SC,2015
LA Galaxy,Philadelphia Union,2015
Portland Timbers,Houston Dynamo,2015
DC United,New England Revolution,2015
Real Salt Lake,Sporting Kansas City,2015
Philadelphia Union,Seattle Sounders FC,2015
Columbus Crew SC,New England Revolution,2015
New York Red Bulls,Real Salt Lake,2015
Orlando City SC,Colorado Rapids,2015
Toronto FC,Montreal Impact,2015
Chicago Fire FC,DC United,2015
LA Galaxy,Portland Timbers,2015
FC Dallas,Houston Dynamo,2015
Toronto FC,DC United,2015
Philadelphia Union,Montreal Impact,2015
New England Revolution,Vancouver Whitecaps,2015
Sporting Kansas City,Colorado Rapids,2015
Real Salt Lake,Columbus Crew SC,2015
San Jose Earthquakes,LA Galaxy,2015
New York City FC,New York Red Bulls,2015
Portland Timbers,Seattle Sounders FC,2015
Houston Dynamo,Chicago Fire FC,2015
Seattle Sounders FC,DC United,2015
Columbus Crew SC,New York Red Bulls,2015
Montreal Impact,New York City FC,2015
Colorado Rapids,Vancouver Whitecaps,2015
FC Dallas,New England Revolution,2015
Real Salt Lake,Orlando City SC,2015
LA Galaxy,Toronto FC,2015
Portland Timbers,San Jose Earthquakes,2015
San Jose Earthquakes,Houston Dynamo,2015
New York Red Bulls,New England Revolution,2015
Philadelphia Union,Portland Timbers,2015
Orlando City SC,FC Dallas,2015
Montreal Impact,Columbus Crew SC,2015
Chicago Fire FC,Seattle Sounders FC,2015
Colorado Rapids,Real Salt Lake,2015
New York City FC,Toronto FC,2015
Vancouver Whitecaps,Sporting Kansas City,2015
Chicago Fire FC,Columbus Crew SC,2015
LA Galaxy,San Jose Earthquakes,2015
Toronto FC,Philadelphia Union,2015
New England Revolution,New York City FC,2015
Orlando City SC,New York Red Bulls,2015
Sporting Kansas City,Montreal Impact,2015
FC Dallas,DC United,2015
Real Salt Lake,Houston Dynamo,2015
Seattle Sounders FC,Colorado Rapids,2015
Portland Timbers,Vancouver Whitecaps,2015
Columbus Crew SC,Chicago Fire FC,2015
Real Salt Lake,Sporting Kansas City,2015
Columbus Crew SC,Toronto FC,2015
Montreal Impact,Seattle Sounders FC,2015
Chicago Fire FC,New England Revolution,2015
FC Dallas,Portland Timbers,2015
