athlete_id,total_starter,name
49,152,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015"
49,129,IFSC Climbing Worldcup (L) - Briançon (FRA) 2015
49,109,IFSC Climbing Worldcup (L) - Imst (AUT) 2015 
49,97,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015
49,105,IFSC Climbing Worldcup (L) - Puurs (BEL) 2015 
49,109,IFSC Climbing Worldcup (L) - Kranj (SLO) 2015
61,152,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015"
61,129,IFSC Climbing Worldcup (L) - Briançon (FRA) 2015
61,109,IFSC Climbing Worldcup (L) - Imst (AUT) 2015 
61,97,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015
61,105,IFSC Climbing Worldcup (L) - Puurs (BEL) 2015 
61,109,IFSC Climbing Worldcup (L) - Kranj (SLO) 2015
71,152,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015"
71,129,IFSC Climbing Worldcup (L) - Briançon (FRA) 2015
437,152,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015"
437,129,IFSC Climbing Worldcup (L) - Briançon (FRA) 2015
437,109,IFSC Climbing Worldcup (L) - Imst (AUT) 2015 
437,97,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015
437,105,IFSC Climbing Worldcup (L) - Puurs (BEL) 2015 
437,49,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015"
437,109,IFSC Climbing Worldcup (L) - Kranj (SLO) 2015
444,152,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015"
444,129,IFSC Climbing Worldcup (L) - Briançon (FRA) 2015
444,109,IFSC Climbing Worldcup (L) - Imst (AUT) 2015 
444,97,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015
444,105,IFSC Climbing Worldcup (L) - Puurs (BEL) 2015 
444,49,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015"
444,109,IFSC Climbing Worldcup (L) - Kranj (SLO) 2015
445,152,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015"
773,152,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015"
773,129,IFSC Climbing Worldcup (L) - Briançon (FRA) 2015
773,109,IFSC Climbing Worldcup (L) - Imst (AUT) 2015 
773,97,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015
773,105,IFSC Climbing Worldcup (L) - Puurs (BEL) 2015 
773,49,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015"
773,109,IFSC Climbing Worldcup (L) - Kranj (SLO) 2015
848,152,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015"
848,129,IFSC Climbing Worldcup (L) - Briançon (FRA) 2015
848,109,IFSC Climbing Worldcup (L) - Imst (AUT) 2015 
848,97,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015
848,105,IFSC Climbing Worldcup (L) - Puurs (BEL) 2015 
848,49,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015"
848,109,IFSC Climbing Worldcup (L) - Kranj (SLO) 2015
1122,152,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015"
1122,129,IFSC Climbing Worldcup (L) - Briançon (FRA) 2015
1122,109,IFSC Climbing Worldcup (L) - Imst (AUT) 2015 
1122,97,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015
1122,105,IFSC Climbing Worldcup (L) - Puurs (BEL) 2015 
1122,49,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015"
1122,109,IFSC Climbing Worldcup (L) - Kranj (SLO) 2015
1202,152,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015"
1202,129,IFSC Climbing Worldcup (L) - Briançon (FRA) 2015
1202,109,IFSC Climbing Worldcup (L) - Imst (AUT) 2015 
1202,97,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015
1202,105,IFSC Climbing Worldcup (L) - Puurs (BEL) 2015 
1202,109,IFSC Climbing Worldcup (L) - Kranj (SLO) 2015
1210,152,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015"
1210,129,IFSC Climbing Worldcup (L) - Briançon (FRA) 2015
1210,109,IFSC Climbing Worldcup (L) - Imst (AUT) 2015 
1210,97,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015
1210,105,IFSC Climbing Worldcup (L) - Puurs (BEL) 2015 
1210,109,IFSC Climbing Worldcup (L) - Kranj (SLO) 2015
1214,152,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015"
1214,129,IFSC Climbing Worldcup (L) - Briançon (FRA) 2015
1214,109,IFSC Climbing Worldcup (L) - Imst (AUT) 2015 
1214,97,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015
1214,105,IFSC Climbing Worldcup (L) - Puurs (BEL) 2015 
1214,49,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015"
1214,109,IFSC Climbing Worldcup (L) - Kranj (SLO) 2015
1476,152,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015"
2035,152,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015"
2035,129,IFSC Climbing Worldcup (L) - Briançon (FRA) 2015
2035,109,IFSC Climbing Worldcup (L) - Imst (AUT) 2015 
2035,97,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015
2035,105,IFSC Climbing Worldcup (L) - Puurs (BEL) 2015 
2035,49,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015"
2035,109,IFSC Climbing Worldcup (L) - Kranj (SLO) 2015
2251,152,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015"
2251,129,IFSC Climbing Worldcup (L) - Briançon (FRA) 2015
2251,109,IFSC Climbing Worldcup (L) - Imst (AUT) 2015 
2251,97,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015
2251,105,IFSC Climbing Worldcup (L) - Puurs (BEL) 2015 
2251,49,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015"
2251,109,IFSC Climbing Worldcup (L) - Kranj (SLO) 2015
2253,109,IFSC Climbing Worldcup (L) - Kranj (SLO) 2015
2254,109,IFSC Climbing Worldcup (L) - Kranj (SLO) 2015
2927,49,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015"
3058,152,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015"
3058,129,IFSC Climbing Worldcup (L) - Briançon (FRA) 2015
3058,109,IFSC Climbing Worldcup (L) - Imst (AUT) 2015 
3058,97,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015
4852,152,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015"
4852,129,IFSC Climbing Worldcup (L) - Briançon (FRA) 2015
4852,109,IFSC Climbing Worldcup (L) - Imst (AUT) 2015 
4926,152,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015"
4926,129,IFSC Climbing Worldcup (L) - Briançon (FRA) 2015
4964,97,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015
5015,105,IFSC Climbing Worldcup (L) - Puurs (BEL) 2015 
5542,152,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015"
5652,105,IFSC Climbing Worldcup (L) - Puurs (BEL) 2015 
