Home,Away,Year
Columbus Crew SC,LA Galaxy,2003
FC Dallas,LA Galaxy,2003
New York Red Bulls,Columbus Crew SC,2003
Sporting Kansas City,DC United,2003
Colorado Rapids,San Jose Earthquakes,2003
Chicago Fire FC,New England Revolution,2003
New England Revolution,Columbus Crew SC,2003
DC United,Chicago Fire FC,2003
New York Red Bulls,LA Galaxy,2003
San Jose Earthquakes,Sporting Kansas City,2003
Columbus Crew SC,New York Red Bulls,2003
Sporting Kansas City,Chicago Fire FC,2003
FC Dallas,New England Revolution,2003
Colorado Rapids,DC United,2003
San Jose Earthquakes,LA Galaxy,2003
New England Revolution,San Jose Earthquakes,2003
DC United,FC Dallas,2003
New York Red Bulls,Colorado Rapids,2003
Sporting Kansas City,Columbus Crew SC,2003
New England Revolution,LA Galaxy,2003
Columbus Crew SC,Colorado Rapids,2003
New York Red Bulls,DC United,2003
Chicago Fire FC,San Jose Earthquakes,2003
FC Dallas,Sporting Kansas City,2003
Sporting Kansas City,New England Revolution,2003
Colorado Rapids,New York Red Bulls,2003
New England Revolution,Chicago Fire FC,2003
DC United,Sporting Kansas City,2003
FC Dallas,LA Galaxy,2003
San Jose Earthquakes,Columbus Crew SC,2003
Columbus Crew SC,New England Revolution,2003
New York Red Bulls,FC Dallas,2003
Sporting Kansas City,LA Galaxy,2003
Chicago Fire FC,Colorado Rapids,2003
San Jose Earthquakes,Chicago Fire FC,2003
New England Revolution,Sporting Kansas City,2003
Columbus Crew SC,New York Red Bulls,2003
Colorado Rapids,LA Galaxy,2003
FC Dallas,DC United,2003
LA Galaxy,Colorado Rapids,2003
Columbus Crew SC,San Jose Earthquakes,2003
DC United,Chicago Fire FC,2003
Sporting Kansas City,New York Red Bulls,2003
Colorado Rapids,DC United,2003
New York Red Bulls,Chicago Fire FC,2003
DC United,Columbus Crew SC,2003
Colorado Rapids,New England Revolution,2003
FC Dallas,San Jose Earthquakes,2003
LA Galaxy,Sporting Kansas City,2003
Chicago Fire FC,FC Dallas,2003
LA Galaxy,San Jose Earthquakes,2003
New York Red Bulls,LA Galaxy,2003
DC United,New England Revolution,2003
Sporting Kansas City,Chicago Fire FC,2003
FC Dallas,Colorado Rapids,2003
San Jose Earthquakes,Columbus Crew SC,2003
Colorado Rapids,LA Galaxy,2003
Chicago Fire FC,New York Red Bulls,2003
New England Revolution,Colorado Rapids,2003
Columbus Crew SC,DC United,2003
LA Galaxy,FC Dallas,2003
San Jose Earthquakes,Sporting Kansas City,2003
New York Red Bulls,San Jose Earthquakes,2003
FC Dallas,DC United,2003
Colorado Rapids,Sporting Kansas City,2003
LA Galaxy,New England Revolution,2003
DC United,New York Red Bulls,2003
Columbus Crew SC,FC Dallas,2003
San Jose Earthquakes,Chicago Fire FC,2003
LA Galaxy,Colorado Rapids,2003
New England Revolution,New York Red Bulls,2003
Sporting Kansas City,FC Dallas,2003
Chicago Fire FC,DC United,2003
San Jose Earthquakes,Colorado Rapids,2003
New England Revolution,FC Dallas,2003
DC United,San Jose Earthquakes,2003
Columbus Crew SC,Sporting Kansas City,2003
Chicago Fire FC,New England Revolution,2003
FC Dallas,New York Red Bulls,2003
Columbus Crew SC,New England Revolution,2003
Colorado Rapids,New York Red Bulls,2003
Chicago Fire FC,Sporting Kansas City,2003
San Jose Earthquakes,FC Dallas,2003
New England Revolution,DC United,2003
LA Galaxy,Columbus Crew SC,2003
Chicago Fire FC,New York Red Bulls,2003
DC United,New England Revolution,2003
Sporting Kansas City,San Jose Earthquakes,2003
Colorado Rapids,FC Dallas,2003
LA Galaxy,Columbus Crew SC,2003
New York Red Bulls,Sporting Kansas City,2003
Columbus Crew SC,Chicago Fire FC,2003
DC United,Colorado Rapids,2003
FC Dallas,San Jose Earthquakes,2003
New England Revolution,San Jose Earthquakes,2003
Chicago Fire FC,DC United,2003
Colorado Rapids,Columbus Crew SC,2003
FC Dallas,Sporting Kansas City,2003
LA Galaxy,New York Red Bulls,2003
Chicago Fire FC,LA Galaxy,2003
Sporting Kansas City,Colorado Rapids,2003
LA Galaxy,New England Revolution,2003
FC Dallas,Columbus Crew SC,2003
New York Red Bulls,Chicago Fire FC,2003
San Jose Earthquakes,DC United,2003
New England Revolution,Chicago Fire FC,2003
LA Galaxy,FC Dallas,2003
San Jose Earthquakes,Colorado Rapids,2003
Columbus Crew SC,Sporting Kansas City,2003
DC United,LA Galaxy,2003
Sporting Kansas City,New York Red Bulls,2003
Chicago Fire FC,Columbus Crew SC,2003
Colorado Rapids,FC Dallas,2003
San Jose Earthquakes,New England Revolution,2003
Columbus Crew SC,FC Dallas,2003
DC United,San Jose Earthquakes,2003
New York Red Bulls,New England Revolution,2003
Colorado Rapids,Sporting Kansas City,2003
LA Galaxy,Chicago Fire FC,2003
New England Revolution,Colorado Rapids,2003
New York Red Bulls,Columbus Crew SC,2003
Sporting Kansas City,San Jose Earthquakes,2003
FC Dallas,Chicago Fire FC,2003
LA Galaxy,DC United,2003
New York Red Bulls,DC United,2003
LA Galaxy,Sporting Kansas City,2003
San Jose Earthquakes,FC Dallas,2003
DC United,New York Red Bulls,2003
New England Revolution,Columbus Crew SC,2003
Colorado Rapids,Chicago Fire FC,2003
Columbus Crew SC,DC United,2003
Sporting Kansas City,Colorado Rapids,2003
Chicago Fire FC,LA Galaxy,2003
FC Dallas,New England Revolution,2003
San Jose Earthquakes,New York Red Bulls,2003
Chicago Fire FC,Columbus Crew SC,2003
Colorado Rapids,San Jose Earthquakes,2003
New England Revolution,DC United,2003
New York Red Bulls,FC Dallas,2003
Sporting Kansas City,LA Galaxy,2003
New York Red Bulls,New England Revolution,2003
Sporting Kansas City,FC Dallas,2003
Chicago Fire FC,Colorado Rapids,2003
LA Galaxy,San Jose Earthquakes,2003
DC United,Columbus Crew SC,2003
New England Revolution,New York Red Bulls,2003
DC United,Sporting Kansas City,2003
FC Dallas,Colorado Rapids,2003
San Jose Earthquakes,LA Galaxy,2003
Columbus Crew SC,Chicago Fire FC,2003
