Home,Away,Year
Colorado Rapids,Columbus Crew SC,2012
Vancouver Whitecaps,Montreal Impact,2012
DC United,Sporting Kansas City,2012
LA Galaxy,Real Salt Lake,2012
San Jose Earthquakes,New England Revolution,2012
FC Dallas,New York Red Bulls,2012
Chivas USA,Houston Dynamo,2012
Portland Timbers,Philadelphia Union,2012
Montreal Impact,Chicago Fire FC,2012
San Jose Earthquakes,Houston Dynamo,2012
FC Dallas,Portland Timbers,2012
Sporting Kansas City,New England Revolution,2012
Real Salt Lake,New York Red Bulls,2012
Seattle Sounders FC,Toronto FC,2012
Chivas USA,Vancouver Whitecaps,2012
Philadelphia Union,Colorado Rapids,2012
LA Galaxy,DC United,2012
Seattle Sounders FC,Houston Dynamo,2012
Toronto FC,San Jose Earthquakes,2012
Columbus Crew SC,Montreal Impact,2012
New England Revolution,Portland Timbers,2012
Chicago Fire FC,Philadelphia Union,2012
Real Salt Lake,Chivas USA,2012
Vancouver Whitecaps,DC United,2012
New York Red Bulls,Colorado Rapids,2012
Sporting Kansas City,FC Dallas,2012
DC United,FC Dallas,2012
Toronto FC,Columbus Crew SC,2012
New York Red Bulls,Montreal Impact,2012
Philadelphia Union,Vancouver Whitecaps,2012
Portland Timbers,Real Salt Lake,2012
Seattle Sounders FC,San Jose Earthquakes,2012
LA Galaxy,New England Revolution,2012
Colorado Rapids,Chicago Fire FC,2012
Chivas USA,Sporting Kansas City,2012
Real Salt Lake,Montreal Impact,2012
FC Dallas,New England Revolution,2012
Montreal Impact,Toronto FC,2012
Columbus Crew SC,New York Red Bulls,2012
Sporting Kansas City,LA Galaxy,2012
San Jose Earthquakes,Vancouver Whitecaps,2012
DC United,Seattle Sounders FC,2012
Real Salt Lake,Colorado Rapids,2012
Portland Timbers,Chivas USA,2012
Philadelphia Union,Columbus Crew SC,2012
New England Revolution,DC United,2012
Seattle Sounders FC,Colorado Rapids,2012
Toronto FC,Chivas USA,2012
New York Red Bulls,San Jose Earthquakes,2012
FC Dallas,Montreal Impact,2012
Sporting Kansas City,Real Salt Lake,2012
LA Galaxy,Portland Timbers,2012
Chicago Fire FC,Houston Dynamo,2012
DC United,Montreal Impact,2012
Vancouver Whitecaps,Sporting Kansas City,2012
Toronto FC,Chicago Fire FC,2012
Columbus Crew SC,Houston Dynamo,2012
Colorado Rapids,LA Galaxy,2012
Vancouver Whitecaps,FC Dallas,2012
Chivas USA,Philadelphia Union,2012
Portland Timbers,Sporting Kansas City,2012
San Jose Earthquakes,Real Salt Lake,2012
DC United,New York Red Bulls,2012
FC Dallas,Real Salt Lake,2012
Montreal Impact,Portland Timbers,2012
New York Red Bulls,New England Revolution,2012
Philadelphia Union,San Jose Earthquakes,2012
Columbus Crew SC,Vancouver Whitecaps,2012
DC United,Houston Dynamo,2012
Chicago Fire FC,Seattle Sounders FC,2012
Colorado Rapids,Chivas USA,2012
Real Salt Lake,Toronto FC,2012
LA Galaxy,FC Dallas,2012
New England Revolution,Colorado Rapids,2012
Seattle Sounders FC,LA Galaxy,2012
