Home,Away,Year
Toronto FC,Columbus Crew SC,2018
Houston Dynamo,Atlanta United FC,2018
Philadelphia Union,New England Revolution,2018
Orlando City SC,DC United,2018
FC Dallas,Real Salt Lake,2018
San Jose Earthquakes,Minnesota United FC,2018
Seattle Sounders FC,LAFC,2018
Vancouver Whitecaps,Montreal Impact,2018
Sporting Kansas City,New York City FC,2018
LA Galaxy,Portland Timbers,2018
Columbus Crew SC,Montreal Impact,2018
New England Revolution,Colorado Rapids,2018
Real Salt Lake,LAFC,2018
Chicago Fire FC,Sporting Kansas City,2018
Houston Dynamo,Vancouver Whitecaps,2018
New York Red Bulls,Portland Timbers,2018
Orlando City SC,Minnesota United FC,2018
Atlanta United FC,DC United,2018
New York City FC,LA Galaxy,2018
DC United,Houston Dynamo,2018
Minnesota United FC,Chicago Fire FC,2018
Philadelphia Union,Columbus Crew SC,2018
Montreal Impact,Toronto FC,2018
New York City FC,Orlando City SC,2018
Atlanta United FC,Vancouver Whitecaps,2018
Sporting Kansas City,San Jose Earthquakes,2018
Real Salt Lake,New York Red Bulls,2018
FC Dallas,Seattle Sounders FC,2018
New England Revolution,New York City FC,2018
FC Dallas,Portland Timbers,2018
Columbus Crew SC,DC United,2018
New York Red Bulls,Minnesota United FC,2018
Colorado Rapids,Sporting Kansas City,2018
Vancouver Whitecaps,LA Galaxy,2018
Toronto FC,Real Salt Lake,2018
Orlando City SC,New York Red Bulls,2018
Columbus Crew SC,Vancouver Whitecaps,2018
LA Galaxy,LAFC,2018
Chicago Fire FC,Portland Timbers,2018
Minnesota United FC,Atlanta United FC,2018
San Jose Earthquakes,New York City FC,2018
Houston Dynamo,New England Revolution,2018
Sporting Kansas City,DC United,2018
Colorado Rapids,Philadelphia Union,2018
Seattle Sounders FC,Montreal Impact,2018
New England Revolution,Montreal Impact,2018
Atlanta United FC,LAFC,2018
Philadelphia Union,San Jose Earthquakes,2018
FC Dallas,Colorado Rapids,2018
Chicago Fire FC,Columbus Crew SC,2018
Real Salt Lake,Vancouver Whitecaps,2018
Orlando City SC,Portland Timbers,2018
LA Galaxy,Sporting Kansas City,2018
New York City FC,Real Salt Lake,2018
Philadelphia Union,Orlando City SC,2018
Vancouver Whitecaps,LAFC,2018
New York Red Bulls,Montreal Impact,2018
Colorado Rapids,Toronto FC,2018
Chicago Fire FC,LA Galaxy,2018
DC United,Columbus Crew SC,2018
New England Revolution,FC Dallas,2018
Portland Timbers,Minnesota United FC,2018
San Jose Earthquakes,Houston Dynamo,2018
Sporting Kansas City,Seattle Sounders FC,2018
Atlanta United FC,New York City FC,2018
Sporting Kansas City,Vancouver Whitecaps,2018
Montreal Impact,LAFC,2018
Houston Dynamo,Toronto FC,2018
New York Red Bulls,Chicago Fire FC,2018
Columbus Crew SC,New England Revolution,2018
Orlando City SC,San Jose Earthquakes,2018
FC Dallas,Philadelphia Union,2018
Real Salt Lake,Colorado Rapids,2018
LA Galaxy,Atlanta United FC,2018
Seattle Sounders FC,Minnesota United FC,2018
Portland Timbers,New York City FC,2018
Vancouver Whitecaps,Real Salt Lake,2018
Atlanta United FC,Montreal Impact,2018
Toronto FC,Chicago Fire FC,2018
Philadelphia Union,DC United,2018
Columbus Crew SC,San Jose Earthquakes,2018
New England Revolution,Sporting Kansas City,2018
Minnesota United FC,Houston Dynamo,2018
LA Galaxy,New York Red Bulls,2018
Colorado Rapids,Orlando City SC,2018
New York City FC,FC Dallas,2018
LAFC,Seattle Sounders FC,2018
Toronto FC,Philadelphia Union,2018
Montreal Impact,New England Revolution,2018
New York Red Bulls,New York City FC,2018
Minnesota United FC,Vancouver Whitecaps,2018
LAFC,FC Dallas,2018
Seattle Sounders FC,Columbus Crew SC,2018
Chicago Fire FC,Atlanta United FC,2018
Houston Dynamo,LA Galaxy,2018
Sporting Kansas City,Colorado Rapids,2018
San Jose Earthquakes,Portland Timbers,2018
Orlando City SC,Real Salt Lake,2018
Atlanta United FC,Sporting Kansas City,2018
Columbus Crew SC,Philadelphia Union,2018
Toronto FC,Seattle Sounders FC,2018
Chicago Fire FC,Montreal Impact,2018
LAFC,Minnesota United FC,2018
Vancouver Whitecaps,Houston Dynamo,2018
Minnesota United FC,San Jose Earthquakes,2018
Montreal Impact,Philadelphia Union,2018
FC Dallas,LA Galaxy,2018
Columbus Crew SC,Chicago Fire FC,2018
New England Revolution,Toronto FC,2018
Colorado Rapids,New York Red Bulls,2018
Real Salt Lake,DC United,2018
Portland Timbers,Seattle Sounders FC,2018
Orlando City SC,Atlanta United FC,2018
LAFC,New York City FC,2018
Vancouver Whitecaps,San Jose Earthquakes,2018
Toronto FC,Orlando City SC,2018
New York City FC,Colorado Rapids,2018
Portland Timbers,LAFC,2018
FC Dallas,Vancouver Whitecaps,2018
New England Revolution,Columbus Crew SC,2018
Philadelphia Union,Real Salt Lake,2018
San Jose Earthquakes,DC United,2018
Minnesota United FC,Sporting Kansas City,2018
Chicago Fire FC,Houston Dynamo,2018
Atlanta United FC,New York Red Bulls,2018
Montreal Impact,LA Galaxy,2018
Toronto FC,FC Dallas,2018
