Home,Away,Year
New York Red Bulls,Toronto FC,2016
Chicago Fire FC,New York City FC,2016
Orlando City SC,Real Salt Lake,2016
FC Dallas,Philadelphia Union,2016
Houston Dynamo,New England Revolution,2016
San Jose Earthquakes,Colorado Rapids,2016
Portland Timbers,Columbus Crew SC,2016
Vancouver Whitecaps,Montreal Impact,2016
Seattle Sounders FC,Sporting Kansas City,2016
LA Galaxy,DC United,2016
Orlando City SC,Chicago Fire FC,2016
New England Revolution,DC United,2016
Montreal Impact,New York Red Bulls,2016
Real Salt Lake,Seattle Sounders FC,2016
Colorado Rapids,LA Galaxy,2016
Columbus Crew SC,Philadelphia Union,2016
Houston Dynamo,FC Dallas,2016
Sporting Kansas City,Vancouver Whitecaps,2016
New York City FC,Toronto FC,2016
San Jose Earthquakes,Portland Timbers,2016
New York City FC,Orlando City SC,2016
Chicago Fire FC,Columbus Crew SC,2016
New York Red Bulls,Houston Dynamo,2016
FC Dallas,Montreal Impact,2016
Seattle Sounders FC,Vancouver Whitecaps,2016
LA Galaxy,San Jose Earthquakes,2016
Portland Timbers,Real Salt Lake,2016
Philadelphia Union,New England Revolution,2016
DC United,Colorado Rapids,2016
Sporting Kansas City,Toronto FC,2016
New York City FC,New England Revolution,2016
DC United,FC Dallas,2016
Vancouver Whitecaps,Houston Dynamo,2016
New England Revolution,New York Red Bulls,2016
Chicago Fire FC,Philadelphia Union,2016
Colorado Rapids,Toronto FC,2016
Sporting Kansas City,Real Salt Lake,2016
FC Dallas,Columbus Crew SC,2016
Seattle Sounders FC,Montreal Impact,2016
Vancouver Whitecaps,LA Galaxy,2016
San Jose Earthquakes,DC United,2016
Orlando City SC,Portland Timbers,2016
Philadelphia Union,Orlando City SC,2016
Montreal Impact,Columbus Crew SC,2016
New England Revolution,Toronto FC,2016
DC United,Vancouver Whitecaps,2016
New York Red Bulls,Sporting Kansas City,2016
FC Dallas,San Jose Earthquakes,2016
Real Salt Lake,Colorado Rapids,2016
Houston Dynamo,Seattle Sounders FC,2016
New York City FC,Chicago Fire FC,2016
LA Galaxy,Portland Timbers,2016
Sporting Kansas City,Colorado Rapids,2016
Portland Timbers,FC Dallas,2016
San Jose Earthquakes,New York Red Bulls,2016
Houston Dynamo,LA Galaxy,2016
Chicago Fire FC,Montreal Impact,2016
DC United,Toronto FC,2016
Columbus Crew SC,New York City FC,2016
Colorado Rapids,New York Red Bulls,2016
Real Salt Lake,Vancouver Whitecaps,2016
Seattle Sounders FC,Philadelphia Union,2016
Portland Timbers,San Jose Earthquakes,2016
Orlando City SC,New England Revolution,2016
FC Dallas,Sporting Kansas City,2016
Montreal Impact,Toronto FC,2016
Philadelphia Union,New York City FC,2016
DC United,New England Revolution,2016
Columbus Crew SC,Houston Dynamo,2016
Colorado Rapids,Seattle Sounders FC,2016
LA Galaxy,Real Salt Lake,2016
Vancouver Whitecaps,FC Dallas,2016
San Jose Earthquakes,Sporting Kansas City,2016
New York Red Bulls,Orlando City SC,2016
New York City FC,Montreal Impact,2016
New England Revolution,Portland Timbers,2016
Vancouver Whitecaps,Sporting Kansas City,2016
New York Red Bulls,FC Dallas,2016
Montreal Impact,Colorado Rapids,2016
New York City FC,Vancouver Whitecaps,2016
Philadelphia Union,San Jose Earthquakes,2016
Seattle Sounders FC,Columbus Crew SC,2016
Chicago Fire FC,DC United,2016
New England Revolution,Orlando City SC,2016
Real Salt Lake,Houston Dynamo,2016
Portland Timbers,Toronto FC,2016
Sporting Kansas City,LA Galaxy,2016
Orlando City SC,New York Red Bulls,2016
Vancouver Whitecaps,Portland Timbers,2016
