Home,Away,Year
Seattle Sounders FC,Philadelphia Union,2010
Chivas USA,Colorado Rapids,2010
FC Dallas,Houston Dynamo,2010
Columbus Crew SC,Toronto FC,2010
New York Red Bulls,Chicago Fire FC,2010
Sporting Kansas City,DC United,2010
San Jose Earthquakes,Real Salt Lake,2010
LA Galaxy,New England Revolution,2010
Houston Dynamo,Real Salt Lake,2010
LA Galaxy,Chivas USA,2010
Colorado Rapids,Chicago Fire FC,2010
DC United,New England Revolution,2010
Seattle Sounders FC,New York Red Bulls,2010
Chivas USA,New York Red Bulls,2010
Philadelphia Union,DC United,2010
New England Revolution,Toronto FC,2010
Chicago Fire FC,San Jose Earthquakes,2010
FC Dallas,Columbus Crew SC,2010
Houston Dynamo,LA Galaxy,2010
Sporting Kansas City,Colorado Rapids,2010
Real Salt Lake,Seattle Sounders FC,2010
Toronto FC,Philadelphia Union,2010
LA Galaxy,Real Salt Lake,2010
Seattle Sounders FC,Sporting Kansas City,2010
Houston Dynamo,Chivas USA,2010
DC United,Chicago Fire FC,2010
New York Red Bulls,FC Dallas,2010
San Jose Earthquakes,New England Revolution,2010
Colorado Rapids,Toronto FC,2010
FC Dallas,Seattle Sounders FC,2010
New York Red Bulls,Philadelphia Union,2010
Columbus Crew SC,Real Salt Lake,2010
New England Revolution,Colorado Rapids,2010
Chicago Fire FC,Houston Dynamo,2010
Sporting Kansas City,LA Galaxy,2010
Chivas USA,San Jose Earthquakes,2010
Toronto FC,Seattle Sounders FC,2010
DC United,New York Red Bulls,2010
New England Revolution,FC Dallas,2010
Chicago Fire FC,Chivas USA,2010
Houston Dynamo,Sporting Kansas City,2010
Real Salt Lake,Toronto FC,2010
San Jose Earthquakes,Colorado Rapids,2010
LA Galaxy,Philadelphia Union,2010
Seattle Sounders FC,Columbus Crew SC,2010
DC United,Sporting Kansas City,2010
New England Revolution,Chivas USA,2010
Houston Dynamo,FC Dallas,2010
Colorado Rapids,LA Galaxy,2010
Real Salt Lake,Philadelphia Union,2010
Seattle Sounders FC,LA Galaxy,2010
Toronto FC,Chicago Fire FC,2010
Columbus Crew SC,New England Revolution,2010
FC Dallas,DC United,2010
San Jose Earthquakes,New York Red Bulls,2010
Chivas USA,Houston Dynamo,2010
Real Salt Lake,Houston Dynamo,2010
Philadelphia Union,FC Dallas,2010
New England Revolution,San Jose Earthquakes,2010
Columbus Crew SC,Chivas USA,2010
DC United,Colorado Rapids,2010
New York Red Bulls,Seattle Sounders FC,2010
Sporting Kansas City,Chicago Fire FC,2010
LA Galaxy,Toronto FC,2010
New York Red Bulls,Columbus Crew SC,2010
FC Dallas,LA Galaxy,2010
Toronto FC,New England Revolution,2010
Seattle Sounders FC,San Jose Earthquakes,2010
Houston Dynamo,DC United,2010
Chivas USA,Real Salt Lake,2010
Sporting Kansas City,Columbus Crew SC,2010
Chicago Fire FC,FC Dallas,2010
Columbus Crew SC,LA Galaxy,2010
DC United,Chivas USA,2010
New England Revolution,New York Red Bulls,2010
Houston Dynamo,Philadelphia Union,2010
Colorado Rapids,Seattle Sounders FC,2010
Real Salt Lake,Sporting Kansas City,2010
San Jose Earthquakes,Toronto FC,2010
New York Red Bulls,Houston Dynamo,2010
San Jose Earthquakes,Columbus Crew SC,2010
Toronto FC,Sporting Kansas City,2010
DC United,Real Salt Lake,2010
New York Red Bulls,Chivas USA,2010
LA Galaxy,Houston Dynamo,2010
Chicago Fire FC,Philadelphia Union,2010
FC Dallas,San Jose Earthquakes,2010
Colorado Rapids,Columbus Crew SC,2010
Seattle Sounders FC,New England Revolution,2010
Chicago Fire FC,Colorado Rapids,2010
Real Salt Lake,LA Galaxy,2010
Sporting Kansas City,Philadelphia Union,2010
Seattle Sounders FC,DC United,2010
Real Salt Lake,San Jose Earthquakes,2010
Columbus Crew SC,DC United,2010
Toronto FC,LA Galaxy,2010
Houston Dynamo,Colorado Rapids,2010
Sporting Kansas City,New York Red Bulls,2010
Chivas USA,FC Dallas,2010
Philadelphia Union,Seattle Sounders FC,2010
New England Revolution,Chicago Fire FC,2010
Toronto FC,Houston Dynamo,2010
Real Salt Lake,New England Revolution,2010
Columbus Crew SC,Chicago Fire FC,2010
FC Dallas,Sporting Kansas City,2010
San Jose Earthquakes,DC United,2010
Chivas USA,Philadelphia Union,2010
Colorado Rapids,New York Red Bulls,2010
LA Galaxy,Seattle Sounders FC,2010
Chicago Fire FC,Real Salt Lake,2010
Toronto FC,Colorado Rapids,2010
Philadelphia Union,San Jose Earthquakes,2010
New England Revolution,LA Galaxy,2010
New York Red Bulls,DC United,2010
Houston Dynamo,Columbus Crew SC,2010
Sporting Kansas City,Chivas USA,2010
Seattle Sounders FC,FC Dallas,2010
Columbus Crew SC,Sporting Kansas City,2010
DC United,Seattle Sounders FC,2010
Philadelphia Union,Toronto FC,2010
Columbus Crew SC,New York Red Bulls,2010
FC Dallas,Real Salt Lake,2010
Colorado Rapids,Sporting Kansas City,2010
DC United,LA Galaxy,2010
LA Galaxy,San Jose Earthquakes,2010
Toronto FC,FC Dallas,2010
Columbus Crew SC,Houston Dynamo,2010
Real Salt Lake,Chivas USA,2010
Seattle Sounders FC,Colorado Rapids,2010
Philadelphia Union,New England Revolution,2010
Colorado Rapids,FC Dallas,2010
Houston Dynamo,New York Red Bulls,2010
Sporting Kansas City,Toronto FC,2010
Real Salt Lake,DC United,2010
San Jose Earthquakes,Seattle Sounders FC,2010
Chivas USA,Columbus Crew SC,2010
LA Galaxy,Chicago Fire FC,2010
Philadelphia Union,Columbus Crew SC,2010
Toronto FC,Chivas USA,2010
New England Revolution,DC United,2010
Sporting Kansas City,Real Salt Lake,2010
Colorado Rapids,San Jose Earthquakes,2010
FC Dallas,Philadelphia Union,2010
Chicago Fire FC,New York Red Bulls,2010
Seattle Sounders FC,Houston Dynamo,2010
New York Red Bulls,Toronto FC,2010
Philadelphia Union,Real Salt Lake,2010
Philadelphia Union,Colorado Rapids,2010
New York Red Bulls,LA Galaxy,2010
DC United,FC Dallas,2010
New England Revolution,Houston Dynamo,2010
Real Salt Lake,Columbus Crew SC,2010
San Jose Earthquakes,Sporting Kansas City,2010
Chivas USA,Seattle Sounders FC,2010
Chicago Fire FC,New England Revolution,2010
Toronto FC,New York Red Bulls,2010
San Jose Earthquakes,LA Galaxy,2010
Columbus Crew SC,Colorado Rapids,2010
FC Dallas,Chivas USA,2010
Houston Dynamo,Chicago Fire FC,2010
Sporting Kansas City,New England Revolution,2010
DC United,Philadelphia Union,2010
Columbus Crew SC,FC Dallas,2010
Toronto FC,Real Salt Lake,2010
New England Revolution,Philadelphia Union,2010
New York Red Bulls,San Jose Earthquakes,2010
Colorado Rapids,Houston Dynamo,2010
LA Galaxy,Sporting Kansas City,2010
Seattle Sounders FC,Chicago Fire FC,2010
Chivas USA,DC United,2010
Philadelphia Union,Sporting Kansas City,2010
Chicago Fire FC,LA Galaxy,2010
DC United,Columbus Crew SC,2010
New England Revolution,Seattle Sounders FC,2010
FC Dallas,Toronto FC,2010
Colorado Rapids,Chivas USA,2010
Real Salt Lake,New York Red Bulls,2010
Houston Dynamo,San Jose Earthquakes,2010
Chicago Fire FC,Toronto FC,2010
Seattle Sounders FC,Real Salt Lake,2010
Chivas USA,New England Revolution,2010
New York Red Bulls,Colorado Rapids,2010
Toronto FC,DC United,2010
Philadelphia Union,Chicago Fire FC,2010
San Jose Earthquakes,FC Dallas,2010
LA Galaxy,Columbus Crew SC,2010
San Jose Earthquakes,Philadelphia Union,2010
FC Dallas,New York Red Bulls,2010
Real Salt Lake,Chicago Fire FC,2010
Columbus Crew SC,Seattle Sounders FC,2010
Houston Dynamo,Toronto FC,2010
Colorado Rapids,New England Revolution,2010
LA Galaxy,DC United,2010
Chivas USA,Sporting Kansas City,2010
FC Dallas,New England Revolution,2010
Sporting Kansas City,Houston Dynamo,2010
LA Galaxy,New York Red Bulls,2010
Philadelphia Union,Chivas USA,2010
Toronto FC,San Jose Earthquakes,2010
DC United,Houston Dynamo,2010
New England Revolution,Columbus Crew SC,2010
Chicago Fire FC,Seattle Sounders FC,2010
Sporting Kansas City,FC Dallas,2010
Real Salt Lake,Colorado Rapids,2010
Colorado Rapids,Philadelphia Union,2010
San Jose Earthquakes,Chicago Fire FC,2010
Seattle Sounders FC,Toronto FC,2010
Philadelphia Union,Houston Dynamo,2010
Columbus Crew SC,San Jose Earthquakes,2010
New England Revolution,Real Salt Lake,2010
New York Red Bulls,Sporting Kansas City,2010
