Home,Away,Year
San Jose Earthquakes,Sporting Kansas City,2009
New York Red Bulls,FC Dallas,2009
Chicago Fire FC,Colorado Rapids,2009
New England Revolution,Real Salt Lake,2009
Houston Dynamo,Seattle Sounders FC,2009
Real Salt Lake,Chivas USA,2009
Seattle Sounders FC,Toronto FC,2009
New England Revolution,San Jose Earthquakes,2009
Chicago Fire FC,DC United,2009
Sporting Kansas City,Real Salt Lake,2009
LA Galaxy,Chivas USA,2009
Colorado Rapids,Houston Dynamo,2009
New York Red Bulls,Columbus Crew SC,2009
New England Revolution,Sporting Kansas City,2009
FC Dallas,DC United,2009
Colorado Rapids,Toronto FC,2009
DC United,Sporting Kansas City,2009
Toronto FC,Colorado Rapids,2009
DC United,Seattle Sounders FC,2009
New York Red Bulls,Sporting Kansas City,2009
Real Salt Lake,Chicago Fire FC,2009
LA Galaxy,FC Dallas,2009
Chivas USA,New England Revolution,2009
Columbus Crew SC,Houston Dynamo,2009
New York Red Bulls,New England Revolution,2009
San Jose Earthquakes,Colorado Rapids,2009
Seattle Sounders FC,Chivas USA,2009
Houston Dynamo,Real Salt Lake,2009
Sporting Kansas City,FC Dallas,2009
LA Galaxy,Toronto FC,2009
Chicago Fire FC,Columbus Crew SC,2009
Colorado Rapids,San Jose Earthquakes,2009
Columbus Crew SC,LA Galaxy,2009
New England Revolution,Seattle Sounders FC,2009
Chicago Fire FC,Toronto FC,2009
FC Dallas,Real Salt Lake,2009
Sporting Kansas City,Colorado Rapids,2009
Chivas USA,New York Red Bulls,2009
DC United,San Jose Earthquakes,2009
FC Dallas,New England Revolution,2009
LA Galaxy,Chicago Fire FC,2009
Columbus Crew SC,Seattle Sounders FC,2009
DC United,Chivas USA,2009
Colorado Rapids,New England Revolution,2009
San Jose Earthquakes,New York Red Bulls,2009
Houston Dynamo,Sporting Kansas City,2009
San Jose Earthquakes,FC Dallas,2009
Toronto FC,San Jose Earthquakes,2009
New England Revolution,Columbus Crew SC,2009
Chivas USA,Sporting Kansas City,2009
Real Salt Lake,New York Red Bulls,2009
Toronto FC,Real Salt Lake,2009
New England Revolution,Chicago Fire FC,2009
DC United,Columbus Crew SC,2009
FC Dallas,Colorado Rapids,2009
Sporting Kansas City,Seattle Sounders FC,2009
Chivas USA,San Jose Earthquakes,2009
Houston Dynamo,LA Galaxy,2009
Chicago Fire FC,Chivas USA,2009
New York Red Bulls,Toronto FC,2009
Real Salt Lake,Colorado Rapids,2009
Sporting Kansas City,DC United,2009
LA Galaxy,San Jose Earthquakes,2009
Seattle Sounders FC,FC Dallas,2009
Chivas USA,Houston Dynamo,2009
Columbus Crew SC,New England Revolution,2009
