Home,Away,Year
Houston Dynamo FC,San Jose Earthquakes,2021
Seattle Sounders FC,Minnesota United FC,2021
CF Montréal,Toronto FC,2021
Orlando City SC,Atlanta United FC,2021
LAFC,Austin FC,2021
DC United,New York City FC,2021
FC Dallas,Colorado Rapids,2021
New York Red Bulls,Sporting Kansas City,2021
Chicago Fire FC,New England Revolution,2021
Nashville SC,FC Cincinnati,2021
Inter Miami CF,LA Galaxy,2021
Columbus Crew,Philadelphia Union,2021
Vancouver Whitecaps,Portland Timbers,2021
Sporting Kansas City,Orlando City SC,2021
New York City FC,FC Cincinnati,2021
Nashville SC,CF Montréal,2021
Toronto FC,Vancouver Whitecaps,2021
San Jose Earthquakes,FC Dallas,2021
LAFC,Seattle Sounders FC,2021
Atlanta United FC,Chicago Fire FC,2021
Minnesota United FC,Real Salt Lake,2021
New England Revolution,DC United,2021
Philadelphia Union,Inter Miami CF,2021
Colorado Rapids,Austin FC,2021
Portland Timbers,Houston Dynamo FC,2021
LA Galaxy,New York Red Bulls,2021
New York Red Bulls,Chicago Fire FC,2021
Real Salt Lake,Sporting Kansas City,2021
CF Montréal,Columbus Crew,2021
Houston Dynamo FC,LAFC,2021
New England Revolution,Atlanta United FC,2021
Orlando City SC,FC Cincinnati,2021
Philadelphia Union,New York City FC,2021
FC Dallas,Portland Timbers,2021
Minnesota United FC,Austin FC,2021
San Jose Earthquakes,DC United,2021
Nashville SC,Inter Miami CF,2021
Seattle Sounders FC,LA Galaxy,2021
Vancouver Whitecaps,Colorado Rapids,2021
Real Salt Lake,San Jose Earthquakes,2021
Chicago Fire FC,Philadelphia Union,2021
New York Red Bulls,Toronto FC,2021
Columbus Crew,DC United,2021
Nashville SC,New England Revolution,2021
Vancouver Whitecaps,CF Montréal,2021
FC Dallas,Houston Dynamo FC,2021
Orlando City SC,New York City FC,2021
LA Galaxy,LAFC,2021
Colorado Rapids,Minnesota United FC,2021
Inter Miami CF,Atlanta United FC,2021
Portland Timbers,Seattle Sounders FC,2021
Sporting Kansas City,Austin FC,2021
Toronto FC,Columbus Crew,2021
Inter Miami CF,CF Montréal,2021
Philadelphia Union,New England Revolution,2021
Houston Dynamo FC,Sporting Kansas City,2021
Minnesota United FC,Vancouver Whitecaps,2021
San Jose Earthquakes,Seattle Sounders FC,2021
DC United,Chicago Fire FC,2021
New York City FC,Toronto FC,2021
LA Galaxy,Austin FC,2021
Atlanta United FC,CF Montréal,2021
Philadelphia Union,New York Red Bulls,2021
Minnesota United FC,FC Dallas,2021
Colorado Rapids,Houston Dynamo FC,2021
