athlete_id,total_starter,name
BARRANS,91,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007
BARRANS,90,IFSC Climbing Worldcup (B) - Hall (AUT) 2007
BARRANS,100,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2007
BARRANS,80,IFSC Climbing Worldcup (B) - Fiera di Primiero (ITA) 2007
BARRANS,208,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007
BARRANS,89,IFSC Climbing Worldcup (B) - Brno (CZE) 2007
JUBES ANGARITA,208,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007
LOPEZ MATEOS,208,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007
LAVARDA,82,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007
LAVARDA,91,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007
LAVARDA,90,IFSC Climbing Worldcup (B) - Hall (AUT) 2007
LAVARDA,80,IFSC Climbing Worldcup (B) - Fiera di Primiero (ITA) 2007
LAVARDA,208,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007
LAVARDA,89,IFSC Climbing Worldcup (B) - Brno (CZE) 2007
MORONI,82,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007
MORONI,91,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007
MORONI,90,IFSC Climbing Worldcup (B) - Hall (AUT) 2007
MORONI,100,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2007
MORONI,80,IFSC Climbing Worldcup (B) - Fiera di Primiero (ITA) 2007
MORONI,208,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007
MORONI,89,IFSC Climbing Worldcup (B) - Brno (CZE) 2007
CEHOVIN,91,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007
GROS,82,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007
GROS,91,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007
GROS,90,IFSC Climbing Worldcup (B) - Hall (AUT) 2007
GROS,100,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2007
GROS,80,IFSC Climbing Worldcup (B) - Fiera di Primiero (ITA) 2007
GROS,208,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007
