game_id,season,Away,Home
2013020132,20132014,EDM,MTL
2013020564,20132014,WPG,EDM
2013020923,20132014,MTL,LAK
2013020227,20132014,WPG,CHI
2013020592,20132014,NYI,MIN
2013020963,20132014,BOS,FLA
2013020783,20132014,MIN,SJS
2013021160,20132014,PHI,BOS
2013020565,20132014,DAL,LAK
2013020308,20132014,DAL,VAN
2013021058,20132014,OTT,DAL
2013020037,20132014,COL,TOR
2013021171,20132014,DAL,FLA
2013020598,20132014,PHI,VAN
2013020774,20132014,PHX,EDM
2013020426,20132014,OTT,TBL
2013020900,20132014,MIN,VAN
2013020553,20132014,PHX,BUF
2013021051,20132014,NYR,CBJ
2013020061,20132014,NYI,CHI
2013020541,20132014,BUF,BOS
2013020200,20132014,NSH,LAK
2013020624,20132014,TBL,CGY
2013021099,20132014,BUF,NSH
2013021026,20132014,BOS,NJD
2013020271,20132014,ANA,FLA
2013020058,20132014,PHX,PHI
2013020682,20132014,PIT,CGY
2013020382,20132014,DET,NYI
2013020943,20132014,STL,NSH
2013020822,20132014,NJD,NSH
2013020490,20132014,CHI,TOR
2013020055,20132014,MTL,EDM
2013020080,20132014,EDM,WSH
2013020251,20132014,PIT,STL
2013020096,20132014,VAN,BUF
2013021015,20132014,EDM,CAR
2013020625,20132014,EDM,ANA
2013021007,20132014,NJD,TBL
2013020905,20132014,FLA,CBJ
2013020713,20132014,NYI,TBL
2013020663,20132014,WSH,TBL
2013021072,20132014,FLA,ANA
2013020377,20132014,LAK,SJS
2013020269,20132014,PHI,OTT
2013020276,20132014,DAL,EDM
2013020509,20132014,CGY,BOS
2013021223,20132014,TBL,WSH
2013020814,20132014,MIN,COL
2013021183,20132014,PHX,CBJ
2013020388,20132014,TOR,BUF
2013021192,20132014,LAK,CGY
2013020210,20132014,DET,EDM
2013020246,20132014,FLA,OTT
2013020110,20132014,VAN,PIT
2013021164,20132014,DET,MTL
2013020690,20132014,MIN,NSH
2013020838,20132014,OTT,PIT
2013020462,20132014,DET,FLA
2013020188,20132014,ANA,BOS
2013020295,20132014,NYR,MTL
2013020609,20132014,EDM,PHX
2013020112,20132014,COL,BUF
2013021104,20132014,CHI,OTT
2013020729,20132014,NYI,PHI
2013020989,20132014,PHX,BOS
2013020479,20132014,COL,WPG
